step,actor_loss,critic_loss,actor_grad_norm,weight_mean,weight_std
32,-0.005386,0.151025,0.0,0.0323,0.0000
33,-0.006380,0.149154,0.0,0.0323,0.0000
34,-0.007322,0.163916,0.0,0.0323,0.0000
35,-0.008248,0.150013,0.0,0.0323,0.0000
36,-0.009148,0.148417,0.0,0.0323,0.0000
37,-0.010032,0.175682,0.0,0.0323,0.0000
38,-0.010878,0.123298,0.0,0.0323,0.0000
39,-0.011613,0.142104,0.0,0.0323,0.0000
40,-0.012442,0.189651,0.0,0.0323,0.0000
41,-0.013272,0.181557,0.0,0.0323,0.0000
42,-0.014111,0.158500,0.0,0.0323,0.0000
43,-0.014963,0.176511,0.0,0.0323,0.0000
44,-0.015848,0.135535,0.0,0.0323,0.0000
45,-0.016758,0.161885,0.0,0.0323,0.0000
46,-0.017638,0.166789,0.0,0.0323,0.0000
47,-0.018588,0.158209,0.0,0.0323,0.0000
48,-0.019542,0.184942,0.0,0.0323,0.0000
49,-0.020700,0.191129,0.0,0.0323,0.0000
50,-0.021798,0.151822,0.0,0.0323,0.0000
51,-0.022945,0.151632,0.0,0.0323,0.0000
52,-0.024186,0.164446,0.0,0.0323,0.0000
53,-0.025573,0.175430,0.0,0.0323,0.0000
54,-0.027079,0.145683,0.0,0.0323,0.0000
55,-0.028689,0.164468,0.0,0.0323,0.0000
56,-0.030511,0.171434,0.0,0.0323,0.0000
57,-0.032311,0.159121,0.0,0.0323,0.0000
58,-0.034470,0.176256,0.0,0.0323,0.0000
59,-0.036765,0.157937,0.0,0.0323,0.0000
60,-0.039013,0.150899,0.0,0.0323,0.0000
61,-0.041177,0.162666,0.0,0.0323,0.0000
62,-0.043403,0.134478,0.0,0.0323,0.0000
63,-0.045566,0.160819,0.0,0.0323,0.0000
64,-0.047570,0.165812,0.0,0.0323,0.0000
65,-0.050079,0.115923,0.0,0.0323,0.0000
66,-0.052937,0.144749,0.0,0.0323,0.0000
67,-0.056302,0.138736,0.0,0.0323,0.0000
