ticker,selected_days,first_selected,last_selected
NSE_TATAPOWER,1724,2015-09-14T00:00:00.000000000,2025-10-28T00:00:00.000000000
NSE_ICICIBANK,1672,2015-12-01T00:00:00.000000000,2025-10-28T00:00:00.000000000
NSE_TITAN,1486,2015-09-14T00:00:00.000000000,2025-10-28T00:00:00.000000000
NSE_ADANIPORTS,1318,2015-10-14T00:00:00.000000000,2025-10-28T00:00:00.000000000
NSE_KOTAKBANK,1316,2016-10-04T00:00:00.000000000,2025-10-28T00:00:00.000000000
NSE_JSWSTEEL,1164,2015-09-16T00:00:00.000000000,2025-10-28T00:00:00.000000000
NSE_ADANIPOWER,1161,2015-09-24T00:00:00.000000000,2025-10-28T00:00:00.000000000
NSE_LT,1149,2015-09-23T00:00:00.000000000,2021-02-26T00:00:00.000000000
NSE_AMBUJACEM,1010,2015-10-19T00:00:00.000000000,2025-08-20T00:00:00.000000000
NSE_PIDILITIND,991,2018-09-06T00:00:00.000000000,2025-10-28T00:00:00.000000000
NSE_TCS,966,2015-12-07T00:00:00.000000000,2021-08-18T00:00:00.000000000
NSE_ASIANPAINT,913,2018-06-28T00:00:00.000000000,2025-10-17T00:00:00.000000000
NSE_INFY,858,2015-09-14T00:00:00.000000000,2021-02-26T00:00:00.000000000
NSE_TRENT,840,2015-09-14T00:00:00.000000000,2025-10-28T00:00:00.000000000
NSE_SBIN,829,2015-09-16T00:00:00.000000000,2021-05-19T00:00:00.000000000
NSE_ONGC,762,2015-10-19T00:00:00.000000000,2021-07-22T00:00:00.000000000
NSE_SOLARINDS,755,2015-09-14T00:00:00.000000000,2021-12-02T00:00:00.000000000
NSE_BAJAJ_AUTO,713,2015-09-14T00:00:00.000000000,2021-09-06T00:00:00.000000000
NSE_BEL,693,2018-04-26T00:00:00.000000000,2025-08-26T00:00:00.000000000
NSE_INDHOTEL,677,2015-12-17T00:00:00.000000000,2024-08-07T00:00:00.000000000
NSE_SUNPHARMA,660,2015-09-14T00:00:00.000000000,2018-05-18T00:00:00.000000000
NSE_CIPLA,650,2015-09-30T00:00:00.000000000,2021-02-22T00:00:00.000000000
NSE_GODREJCP,496,2015-11-06T00:00:00.000000000,2025-03-20T00:00:00.000000000
NSE_HINDUNILVR,495,2015-10-19T00:00:00.000000000,2018-01-30T00:00:00.000000000
NSE_ULTRACEMCO,372,2015-10-30T00:00:00.000000000,2021-01-29T00:00:00.000000000
NSE_HDFCBANK,370,2015-09-14T00:00:00.000000000,2023-10-03T00:00:00.000000000
NSE_TVSMOTOR,299,2021-04-27T00:00:00.000000000,2023-08-08T00:00:00.000000000
NSE_ABB,263,2015-09-14T00:00:00.000000000,2025-10-28T00:00:00.000000000
NSE_DLF,216,2018-10-15T00:00:00.000000000,2023-08-02T00:00:00.000000000
NSE_RELIANCE,101,2015-09-14T00:00:00.000000000,2021-02-26T00:00:00.000000000
NSE_BHARTIARTL,95,2019-10-01T00:00:00.000000000,2021-12-14T00:00:00.000000000
