ticker,buy_trades,sell_trades,buy_shares,sell_shares,net_shares,gross_buy_value,gross_sell_value,commission,realized_pnl
NSE_ABB,89,105,8994,8987,7,9846687.35,9973326.94,19820.07,0.00
NSE_ADANIPORTS,505,596,40110,40081,29,18810224.10,19539691.05,38349.94,0.00
NSE_ADANIPOWER,619,536,2183672,2180807,2865,77470114.83,85916636.50,163386.64,0.00
NSE_AMBUJACEM,442,471,62534,62534,0,13855163.45,14561955.05,28417.21,0.00
NSE_ASIANPAINT,315,417,7733,7733,0,16433651.25,16832132.85,33265.83,0.00
NSE_BAJAJ_AUTO,346,342,7446,7446,0,21263809.30,21763007.40,43026.86,0.00
NSE_BEL,338,331,468039,468039,0,15806690.39,16119187.54,31926.22,0.00
NSE_BHARTIARTL,47,49,11050,11050,0,6024554.55,6034875.67,12059.42,0.00
NSE_CIPLA,329,294,18015,18015,0,10597794.65,11347353.95,21945.27,0.00
NSE_DLF,92,122,44378,44378,0,11546951.60,11452068.80,22999.00,0.00
NSE_GODREJCP,191,242,17852,17852,0,12638692.72,12579968.79,25218.64,0.00
NSE_HDFCBANK,142,191,16594,16594,0,7935044.14,7947319.07,15882.40,0.00
NSE_HINDUNILVR,222,241,11115,11115,0,9769975.20,10387728.50,20157.75,0.00
NSE_ICICIBANK,815,790,67643,67302,341,43224843.22,44978344.85,88203.23,0.00
NSE_INDHOTEL,238,360,116207,116207,0,14895842.30,15937564.02,30833.52,0.00
NSE_INFY,397,424,25518,25518,0,16814941.64,17447607.34,34262.77,0.00
NSE_JSWSTEEL,611,536,159062,148497,10565,123107096.65,115011468.03,238118.71,0.00
NSE_KOTAKBANK,721,566,66975,61325,5650,123504430.20,112481234.55,235985.90,0.00
NSE_LT,572,525,16078,16078,0,18123543.70,18307426.42,36431.00,0.00
NSE_ONGC,381,365,142855,142855,0,17067946.12,17056573.82,34124.60,0.00
NSE_PIDILITIND,312,452,18998,18971,27,16218650.00,16497122.68,32715.82,0.00
NSE_RELIANCE,60,48,21561,21561,0,8045015.84,8291372.41,16336.34,0.00
NSE_SBIN,445,363,65717,65717,0,16954384.50,16695258.85,33649.72,0.00
NSE_SOLARINDS,366,363,15384,15384,0,15612975.86,16122806.33,31735.63,0.00
NSE_SUNPHARMA,352,279,8151,8151,0,5359101.95,4927298.90,10286.48,0.00
NSE_TATAPOWER,693,759,516951,516845,106,36360501.55,36073061.05,72433.54,0.00
NSE_TCS,464,477,10262,10262,0,19597847.03,20612419.86,40210.39,0.00
NSE_TITAN,497,606,24274,24259,15,17702289.40,18536314.00,36238.83,0.00
NSE_TRENT,240,306,25549,25535,14,14680962.88,15446590.54,30127.68,0.00
NSE_TVSMOTOR,141,148,8721,8721,0,5618488.70,5919653.85,11538.23,0.00
NSE_ULTRACEMCO,149,187,2522,2522,0,10279916.65,10117913.20,20397.77,0.00
