date,step,ticker,action,shares,price,value,commission
2015-09-10T00:00:00.000000000,0,NSE_ABB,BUY,906,1046.82,948418.87,948.42
2015-09-10T00:00:00.000000000,0,NSE_BAJAJ_AUTO,BUY,423,2240.00,947520.00,947.52
2015-09-10T00:00:00.000000000,0,NSE_HDFCBANK,BUY,3791,250.75,950593.25,950.59
2015-09-10T00:00:00.000000000,0,NSE_INFY,BUY,1751,542.45,949829.97,949.83
2015-09-10T00:00:00.000000000,0,NSE_RELIANCE,BUY,4907,193.57,949869.89,949.87
2015-09-10T00:00:00.000000000,0,NSE_SOLARINDS,BUY,1366,695.00,949370.00,949.37
2015-09-10T00:00:00.000000000,0,NSE_SUNPHARMA,BUY,1139,835.00,951065.00,951.07
2015-09-10T00:00:00.000000000,0,NSE_TATAPOWER,BUY,16148,58.80,949502.39,949.50
2015-09-10T00:00:00.000000000,0,NSE_TITAN,BUY,2910,326.35,949678.52,949.68
2015-09-10T00:00:00.000000000,0,NSE_TRENT,BUY,8036,118.18,949694.48,949.69
2015-09-11T00:00:00.000000000,1,NSE_ABB,BUY,8,1047.72,8381.74,8.38
2015-09-11T00:00:00.000000000,1,NSE_BAJAJ_AUTO,SELL,-12,2327.00,-27924.00,27.92
2015-09-11T00:00:00.000000000,1,NSE_HDFCBANK,SELL,-8,253.62,-2029.00,2.03
2015-09-11T00:00:00.000000000,1,NSE_INFY,BUY,5,545.78,2728.88,2.73
2015-09-11T00:00:00.000000000,1,NSE_RELIANCE,SELL,-20,196.05,-3920.95,3.92
2015-09-11T00:00:00.000000000,1,NSE_SOLARINDS,BUY,29,687.02,19923.58,19.92
2015-09-11T00:00:00.000000000,1,NSE_SUNPHARMA,SELL,-2,844.00,-1688.00,1.69
2015-09-11T00:00:00.000000000,1,NSE_TATAPOWER,SELL,-466,61.10,-28472.60,28.47
2015-09-11T00:00:00.000000000,1,NSE_TITAN,BUY,27,326.25,8808.75,8.81
2015-09-11T00:00:00.000000000,1,NSE_TRENT,BUY,91,117.91,10729.81,10.73
2015-09-14T00:00:00.000000000,2,NSE_ABB,BUY,13,1040.54,13527.03,13.53
2015-09-14T00:00:00.000000000,2,NSE_HDFCBANK,BUY,50,252.21,12610.62,12.61
2015-09-14T00:00:00.000000000,2,NSE_RELIANCE,BUY,95,193.74,18405.59,18.41
2015-09-14T00:00:00.000000000,2,NSE_SOLARINDS,SELL,-55,719.80,-39589.00,39.59
2015-09-14T00:00:00.000000000,2,NSE_SUNPHARMA,SELL,-6,854.20,-5125.20,5.13
2015-09-14T00:00:00.000000000,2,NSE_TATAPOWER,BUY,453,59.80,27089.40,27.09
2015-09-14T00:00:00.000000000,2,NSE_TITAN,SELL,-12,329.90,-3958.80,3.96
2015-09-14T00:00:00.000000000,2,NSE_TRENT,SELL,-215,121.96,-26220.33,26.22
2015-09-15T00:00:00.000000000,3,NSE_ABB,BUY,7,1032.47,7227.27,7.23
2015-09-15T00:00:00.000000000,3,NSE_BAJAJ_AUTO,BUY,5,2315.00,11575.00,11.58
2015-09-15T00:00:00.000000000,3,NSE_HDFCBANK,SELL,-36,254.49,-9161.55,9.16
2015-09-15T00:00:00.000000000,3,NSE_SOLARINDS,BUY,11,713.99,7853.89,7.85
2015-09-15T00:00:00.000000000,3,NSE_SUNPHARMA,SELL,-6,858.60,-5151.60,5.15
2015-09-15T00:00:00.000000000,3,NSE_TATAPOWER,SELL,-540,61.85,-33399.00,33.40
2015-09-15T00:00:00.000000000,3,NSE_TITAN,SELL,-10,331.00,-3310.00,3.31
2015-09-15T00:00:00.000000000,3,NSE_TRENT,BUY,221,118.61,26211.71,26.21
2015-09-16T00:00:00.000000000,4,NSE_ABB,SELL,-934,1004.62,-938310.69,938.31
2015-09-16T00:00:00.000000000,4,NSE_BAJAJ_AUTO,BUY,2,2305.10,4610.20,4.61
2015-09-16T00:00:00.000000000,4,NSE_INFY,SELL,-13,554.00,-7202.00,7.20
2015-09-16T00:00:00.000000000,4,NSE_JSWSTEEL,BUY,10085,95.70,965134.47,965.13
2015-09-16T00:00:00.000000000,4,NSE_RELIANCE,SELL,-4982,196.07,-976820.78,976.82
2015-09-16T00:00:00.000000000,4,NSE_SBIN,BUY,4083,236.40,965221.18,965.22
2015-09-16T00:00:00.000000000,4,NSE_SOLARINDS,BUY,19,704.69,13389.11,13.39
2015-09-16T00:00:00.000000000,4,NSE_SUNPHARMA,SELL,-26,879.20,-22859.20,22.86
2015-09-16T00:00:00.000000000,4,NSE_TATAPOWER,SELL,-25,62.00,-1550.00,1.55
2015-09-16T00:00:00.000000000,4,NSE_TITAN,BUY,10,330.10,3301.00,3.30
2015-09-16T00:00:00.000000000,4,NSE_TRENT,SELL,-60,119.58,-7174.80,7.17
2015-09-18T00:00:00.000000000,5,NSE_BAJAJ_AUTO,SELL,-8,2375.00,-19000.00,19.00
2015-09-18T00:00:00.000000000,5,NSE_HDFCBANK,SELL,-24,258.75,-6210.00,6.21
2015-09-18T00:00:00.000000000,5,NSE_INFY,BUY,10,555.90,5559.00,5.56
2015-09-18T00:00:00.000000000,5,NSE_JSWSTEEL,BUY,48,96.10,4612.80,4.61
2015-09-18T00:00:00.000000000,5,NSE_SBIN,SELL,-23,240.00,-5520.00,5.52
2015-09-18T00:00:00.000000000,5,NSE_SOLARINDS,BUY,2,710.20,1420.40,1.42
2015-09-18T00:00:00.000000000,5,NSE_SUNPHARMA,SELL,-11,897.00,-9867.00,9.87
2015-09-18T00:00:00.000000000,5,NSE_TATAPOWER,BUY,78,62.25,4855.50,4.86
2015-09-18T00:00:00.000000000,5,NSE_TITAN,BUY,63,326.30,20556.90,20.56
2015-09-18T00:00:00.000000000,5,NSE_TRENT,SELL,-32,121.20,-3878.40,3.88
2015-09-21T00:00:00.000000000,6,NSE_BAJAJ_AUTO,BUY,18,2275.00,40950.00,40.95
2015-09-21T00:00:00.000000000,6,NSE_HDFCBANK,SELL,-13,259.49,-3373.34,3.37
2015-09-21T00:00:00.000000000,6,NSE_INFY,BUY,18,550.00,9900.00,9.90
2015-09-21T00:00:00.000000000,6,NSE_JSWSTEEL,BUY,276,93.51,25808.76,25.81
2015-09-21T00:00:00.000000000,6,NSE_SBIN,BUY,6,239.55,1437.30,1.44
2015-09-21T00:00:00.000000000,6,NSE_SUNPHARMA,SELL,-14,908.30,-12716.20,12.72
2015-09-21T00:00:00.000000000,6,NSE_TATAPOWER,SELL,-359,63.70,-22868.30,22.87
2015-09-21T00:00:00.000000000,6,NSE_TITAN,BUY,58,320.00,18560.00,18.56
2015-09-21T00:00:00.000000000,6,NSE_TRENT,SELL,-442,128.20,-56664.40,56.66
2015-09-22T00:00:00.000000000,7,NSE_BAJAJ_AUTO,SELL,-6,2332.90,-13997.40,14.00
2015-09-22T00:00:00.000000000,7,NSE_INFY,SELL,-5,557.50,-2787.50,2.79
2015-09-22T00:00:00.000000000,7,NSE_JSWSTEEL,BUY,185,92.81,17168.93,17.17
2015-09-22T00:00:00.000000000,7,NSE_SBIN,SELL,-97,247.95,-24051.15,24.05
2015-09-22T00:00:00.000000000,7,NSE_SOLARINDS,BUY,2,716.00,1432.00,1.43
2015-09-22T00:00:00.000000000,7,NSE_SUNPHARMA,BUY,10,909.00,9090.00,9.09
2015-09-22T00:00:00.000000000,7,NSE_TATAPOWER,SELL,-125,64.90,-8112.50,8.11
2015-09-22T00:00:00.000000000,7,NSE_TITAN,BUY,36,319.50,11502.00,11.50
2015-09-22T00:00:00.000000000,7,NSE_TRENT,BUY,32,129.01,4128.16,4.13
2015-09-23T00:00:00.000000000,8,NSE_BAJAJ_AUTO,SELL,-422,2242.00,-946124.00,946.12
2015-09-23T00:00:00.000000000,8,NSE_HDFCBANK,BUY,14,254.80,3567.20,3.57
2015-09-23T00:00:00.000000000,8,NSE_INFY,SELL,-32,553.72,-17719.20,17.72
2015-09-23T00:00:00.000000000,8,NSE_JSWSTEEL,SELL,-10594,89.99,-953354.12,953.35
2015-09-23T00:00:00.000000000,8,NSE_LT,BUY,978,982.00,960395.04,960.40
2015-09-23T00:00:00.000000000,8,NSE_SBIN,BUY,115,235.00,27025.00,27.03
2015-09-23T00:00:00.000000000,8,NSE_SOLARINDS,SELL,-33,715.77,-23620.41,23.62
2015-09-23T00:00:00.000000000,8,NSE_SUNPHARMA,SELL,-10,895.00,-8950.00,8.95
2015-09-23T00:00:00.000000000,8,NSE_TATAPOWER,BUY,218,62.40,13603.20,13.60
2015-09-23T00:00:00.000000000,8,NSE_TITAN,SELL,-53,317.00,-16801.00,16.80
