date,step,nav,cash,cash_pct,daily_return,reward,vol_30d,mdd_30d
2015-09-10T00:00:00.000000000,0,1001.7366,9002596.48,0.8987,0.001836,0.000000,0.000000,0.000000
2015-09-11T00:00:00.000000000,1,1001.0214,9021027.70,0.9012,-0.001147,-0.000000,0.000000,0.000000
2015-09-14T00:00:00.000000000,2,1002.4035,9021585.44,0.9000,0.000420,0.000420,0.000000,0.000000
2015-09-15T00:00:00.000000000,3,1001.5406,9026483.81,0.9013,-0.001024,-0.001024,0.000000,0.000000
2015-09-16T00:00:00.000000000,4,1002.1894,9022892.01,0.9003,-0.000042,-0.002900,0.001088,0.001793
2015-09-18T00:00:00.000000000,5,1001.8537,9027158.17,0.9010,-0.001121,-0.004300,0.001078,0.002912
2015-09-21T00:00:00.000000000,6,1005.5478,5003650.17,0.4976,0.004728,-0.020344,0.001986,0.002912
2015-09-22T00:00:00.000000000,7,998.3905,5039191.39,0.5047,-0.009206,-0.073813,0.003715,0.009206
2015-09-23T00:00:00.000000000,8,996.0922,4982179.46,0.5002,-0.000079,-0.072934,0.003508,0.009285
2015-09-24T00:00:00.000000000,9,999.1825,4979368.20,0.4983,0.003637,-0.073220,0.003565,0.009285
2015-09-28T00:00:00.000000000,10,994.1827,5006095.02,0.5035,-0.006271,-0.313539,0.003821,0.011916
2015-09-29T00:00:00.000000000,11,994.7383,4950350.12,0.4977,0.005127,0.256330,0.004003,0.011916
2015-09-30T00:00:00.000000000,12,1000.2928,5004759.94,0.5003,-0.000064,-0.003179,0.003846,0.011916
2015-10-01T00:00:00.000000000,13,1002.4888,5017449.61,0.5005,-0.000348,-0.017413,0.003707,0.011916
2015-10-05T00:00:00.000000000,14,1015.9236,5027313.35,0.4949,0.010559,0.158428,0.004483,0.011916
2015-10-06T00:00:00.000000000,15,1017.9951,5092895.41,0.5003,-0.000059,-0.053227,0.004342,0.011916
2015-10-07T00:00:00.000000000,16,1020.7479,5091624.72,0.4988,0.002943,0.007263,0.004254,0.011916
2015-10-08T00:00:00.000000000,17,1018.1492,5111334.57,0.5020,-0.003170,-0.114851,0.004223,0.011916
2015-10-09T00:00:00.000000000,18,1019.4722,5107044.10,0.5009,-0.001600,-0.082995,0.004133,0.011916
2015-10-12T00:00:00.000000000,19,1011.9961,506904.62,0.0501,-0.009092,-0.242577,0.004516,0.013814
2015-10-13T00:00:00.000000000,20,1013.5109,507371.46,0.0501,0.001679,-0.138952,0.004425,0.013814
2015-10-14T00:00:00.000000000,21,1005.4099,505351.00,0.0503,-0.003278,-0.189817,0.004374,0.015396
2015-10-15T00:00:00.000000000,22,1006.8092,505902.02,0.0502,-0.004241,-0.210590,0.004354,0.019572
2015-10-16T00:00:00.000000000,23,1008.0647,1463252.93,0.1452,-0.000780,-0.178589,0.004263,0.020336
2015-10-19T00:00:00.000000000,24,1007.4746,7567179.49,0.7511,-0.001452,-0.049440,0.004182,0.021759
2015-10-20T00:00:00.000000000,25,1009.7754,7562127.00,0.7489,0.001626,-0.041514,0.004120,0.021759
2015-10-21T00:00:00.000000000,26,1008.8157,7571926.60,0.7506,-0.000549,-0.046665,0.004043,0.021759
2015-10-23T00:00:00.000000000,27,1009.4657,7580631.98,0.7510,-0.001130,-0.047891,0.003973,0.021813
2015-10-26T00:00:00.000000000,28,1003.5556,499760.79,0.0498,-0.006573,-0.457557,0.004061,0.028242
2015-10-27T00:00:00.000000000,29,1004.4297,500584.63,0.0498,0.004287,0.161173,0.004090,0.028242
2015-10-28T00:00:00.000000000,30,992.9507,1453711.49,0.1464,-0.009299,-0.620625,0.004359,0.033152
2015-10-29T00:00:00.000000000,31,990.9073,495046.49,0.0500,-0.004389,-0.345224,0.004405,0.037395
2015-10-30T00:00:00.000000000,32,986.2976,1444473.12,0.1465,-0.011169,-0.748805,0.004761,0.048146
2015-11-02T00:00:00.000000000,33,987.0539,8885001.07,0.9002,-0.000106,-0.001059,0.004766,0.048247
2015-11-03T00:00:00.000000000,34,987.1529,8889465.41,0.9005,-0.000500,-0.004996,0.004763,0.048723
2015-11-04T00:00:00.000000000,35,986.7413,8891465.47,0.9011,-0.000978,-0.009779,0.004763,0.049653
2015-11-05T00:00:00.000000000,36,985.1153,8883085.29,0.9017,-0.001524,-0.015240,0.004629,0.051101
2015-11-06T00:00:00.000000000,37,984.7432,8870965.50,0.9008,-0.000681,-0.006806,0.004405,0.051747
2015-11-09T00:00:00.000000000,38,1000.6818,2451758.72,0.2450,0.019303,0.424870,0.005746,0.051747
2015-11-10T00:00:00.000000000,39,989.7934,2497042.21,0.2523,-0.008976,-0.424516,0.005881,0.051747
2015-11-11T00:00:00.000000000,40,996.2287,2490685.29,0.2500,-0.000169,-0.159712,0.005801,0.051747
2015-11-13T00:00:00.000000000,41,984.6749,2483188.96,0.2522,-0.008153,-0.399486,0.005837,0.051747
2015-11-16T00:00:00.000000000,42,984.9790,7370944.70,0.7483,0.002411,0.002969,0.005870,0.051747
2015-11-17T00:00:00.000000000,43,984.8651,7400411.06,0.7514,-0.001629,-0.057626,0.005869,0.051747
2015-11-18T00:00:00.000000000,44,982.5309,7392259.96,0.7524,-0.002793,-0.074103,0.005450,0.052005
2015-11-19T00:00:00.000000000,45,986.1277,7379130.72,0.7483,0.002329,0.002628,0.005490,0.052005
2015-11-20T00:00:00.000000000,46,987.5781,7390924.10,0.7484,0.001886,-0.003198,0.005464,0.048990
2015-11-23T00:00:00.000000000,47,985.7325,2469108.95,0.2505,-0.002693,-0.238682,0.005460,0.047466
2015-11-24T00:00:00.000000000,48,978.5655,2457654.10,0.2511,-0.004631,-0.244225,0.005487,0.043334
2015-11-26T00:00:00.000000000,49,984.8396,2451901.00,0.2490,0.003914,-0.179150,0.005400,0.043334
