week_start_date,step,rho_cash,w_ret,w_vol,w_cvar,w_mdd,log_prob,entropy
2015-09-10T00:00:00.000000000,0,0.9000,0.0000,0.2000,0.4000,0.4000,-3.315752,3.214996
2015-09-14T00:00:00.000000000,2,0.9000,0.1000,0.3000,0.3000,0.3000,-3.271458,3.214708
2015-09-21T00:00:00.000000000,6,0.5000,0.0000,0.2000,0.4000,0.4000,-3.071812,3.217243
2015-09-28T00:00:00.000000000,10,0.5000,1.0000,0.0000,0.0000,0.0000,-3.252987,3.218521
2015-10-05T00:00:00.000000000,14,0.5000,0.4000,0.2000,0.2000,0.2000,-3.310935,3.216435
2015-10-12T00:00:00.000000000,19,0.0500,0.1000,0.3000,0.3000,0.3000,-3.231150,3.218040
2015-10-19T00:00:00.000000000,24,0.7500,0.1000,0.3000,0.3000,0.3000,-3.133225,3.217277
2015-10-26T00:00:00.000000000,28,0.0500,0.6000,0.2000,0.1000,0.1000,-3.199603,3.217082
2015-11-02T00:00:00.000000000,33,0.9000,1.0000,0.0000,0.0000,0.0000,-3.289803,3.215995
2015-11-09T00:00:00.000000000,38,0.2500,0.4000,0.2000,0.2000,0.2000,-3.162354,3.214099
2015-11-16T00:00:00.000000000,42,0.7500,0.6000,0.2000,0.1000,0.1000,-3.241639,3.215353
2015-11-23T00:00:00.000000000,47,0.2500,0.1000,0.3000,0.3000,0.3000,-3.150402,3.213896
2015-11-30T00:00:00.000000000,51,0.2500,0.4000,0.2000,0.2000,0.2000,-3.179663,3.214511
2015-12-07T00:00:00.000000000,56,0.7500,0.6000,0.2000,0.1000,0.1000,-3.185506,3.214103
2015-12-14T00:00:00.000000000,61,0.9000,1.0000,0.0000,0.0000,0.0000,-3.255574,3.212296
2015-12-21T00:00:00.000000000,66,0.9000,0.1000,0.3000,0.3000,0.3000,-3.228663,3.210287
2015-12-28T00:00:00.000000000,70,0.2500,1.0000,0.0000,0.0000,0.0000,-3.201973,3.211845
2016-01-04T00:00:00.000000000,75,0.7500,0.6000,0.2000,0.1000,0.1000,-3.235645,3.211926
2016-01-11T00:00:00.000000000,80,0.5000,0.6000,0.2000,0.1000,0.1000,-3.211918,3.211826
2016-01-18T00:00:00.000000000,85,0.5000,0.0000,0.2000,0.4000,0.4000,-3.380352,3.212227
2016-01-25T00:00:00.000000000,90,0.9000,0.4000,0.2000,0.2000,0.2000,-3.150222,3.211741
2016-02-01T00:00:00.000000000,94,0.2500,1.0000,0.0000,0.0000,0.0000,-3.086241,3.210619
2016-02-08T00:00:00.000000000,99,0.7500,0.1000,0.3000,0.3000,0.3000,-3.226524,3.210115
2016-02-15T00:00:00.000000000,104,0.5000,0.1000,0.3000,0.3000,0.3000,-3.192784,3.210143
2016-02-22T00:00:00.000000000,109,0.7500,0.4000,0.2000,0.2000,0.2000,-3.165104,3.210731
2016-02-29T00:00:00.000000000,114,0.2500,0.6000,0.2000,0.1000,0.1000,-3.186496,3.209655
2016-03-08T00:00:00.000000000,119,0.2500,0.0000,0.2000,0.4000,0.4000,-3.155099,3.210516
2016-03-14T00:00:00.000000000,123,0.0500,0.0000,0.2000,0.4000,0.4000,-3.272491,3.210351
2016-03-21T00:00:00.000000000,128,0.5000,0.6000,0.2000,0.1000,0.1000,-3.466283,3.210834
2016-03-28T00:00:00.000000000,131,0.0500,0.4000,0.2000,0.2000,0.2000,-3.251155,3.208552
2016-04-04T00:00:00.000000000,136,0.0500,0.0000,0.2000,0.4000,0.4000,-3.162800,3.210819
2016-04-11T00:00:00.000000000,141,0.2500,0.0000,0.2000,0.4000,0.4000,-3.268911,3.210580
2016-04-18T00:00:00.000000000,144,0.9000,1.0000,0.0000,0.0000,0.0000,-3.159735,3.209314
2016-04-25T00:00:00.000000000,148,0.5000,0.1000,0.3000,0.3000,0.3000,-2.949351,3.202743
2016-05-02T00:00:00.000000000,153,0.9000,0.6000,0.2000,0.1000,0.1000,-3.248389,3.207023
2016-05-09T00:00:00.000000000,158,0.5000,0.4000,0.2000,0.2000,0.2000,-3.146219,3.203093
2016-05-16T00:00:00.000000000,163,0.5000,0.4000,0.2000,0.2000,0.2000,-3.187272,3.206936
2016-05-23T00:00:00.000000000,168,0.2500,0.0000,0.2000,0.4000,0.4000,-3.173721,3.206789
2016-05-30T00:00:00.000000000,173,0.9000,0.4000,0.2000,0.2000,0.2000,-3.067454,3.208525
2016-06-06T00:00:00.000000000,178,0.2500,0.6000,0.2000,0.1000,0.1000,-2.722337,3.202300
2016-06-13T00:00:00.000000000,183,0.0500,0.4000,0.2000,0.2000,0.2000,-2.974674,3.207261
2016-06-20T00:00:00.000000000,188,0.5000,0.6000,0.2000,0.1000,0.1000,-3.362882,3.208587
2016-06-27T00:00:00.000000000,193,0.9000,0.4000,0.2000,0.2000,0.2000,-3.196277,3.204749
