time,open,high,low,close,volume
2015-01-01,189.65746131276853,190.8771860012296,189.0903810391093,189.9998321533203,2963643
2015-01-02,190.04261601795088,191.74382815812206,189.22947104058622,189.4969482421875,7331366
2015-01-05,189.37925486692558,190.6417900892634,187.04678228843514,187.4212646484375,10103941
2015-01-06,186.16943288485805,186.81139240746566,178.03788369901343,178.9152374267578,18627980
2015-01-07,179.1292285310337,183.77276085280215,179.10783035701846,182.809814453125,20720312
2015-01-08,184.0509160030909,184.65009337577894,179.78186650077416,180.18844604492188,19872227
2015-01-09,181.54729564096232,184.457533275433,180.81974337459295,184.09375,13392787
2015-01-12,184.13654257589423,184.2435334450875,180.09217344442607,181.953857421875,10100113
2015-01-13,182.53165149846924,182.94893023933918,179.85680791974818,180.4238739013672,9948711
2015-01-14,180.3917394437132,181.24769492622863,177.86668362633776,178.6691436767578,11380041
2015-01-15,179.74978033395087,186.40479779837128,179.74978033395087,184.93898010253906,16927085
2015-01-16,184.02954549231427,187.2393717003376,182.32834774405396,186.10523986816406,19136963
2015-01-19,186.21223606415992,189.59323348253545,183.76207355968455,188.2344207763672,13339962
2015-01-20,188.63032433421716,193.7767289884283,188.06324404819568,193.24176025390625,13361320
2015-01-21,193.6589792661306,195.02849080469736,190.8878303629104,194.033447265625,17084297
2015-01-22,193.69110862891478,194.12978549981565,188.20231962566118,189.1117706298828,23721627
2015-01-23,190.44917003317502,192.11827040016072,187.66733608819882,189.7858123779297,18080494
2015-01-27,191.06975469986517,191.88291395176273,188.41630947001002,190.24591064453125,17939876
2015-01-28,189.61465072299592,194.68617592947535,189.61465072299592,194.05490112304688,19298126
2015-01-29,194.10835928003982,199.97163021370753,194.0655629331805,198.8802947998047,36117653
2015-01-30,199.00871857209546,199.2762100711448,194.51497280714662,195.85240173339844,21746801
2015-02-02,196.02358832102465,196.84744671575802,193.80881983332242,194.3116912841797,19302710
2015-02-03,195.41369812138836,201.33046471295063,195.41369812138836,200.635009765625,17092333
2015-02-04,200.95597636749395,201.96171909572098,198.131346029715,198.7519073486328,14072894
2015-02-05,200.2926149635579,201.1271580029095,196.3552368185314,197.6605682373047,12365643
2015-02-06,197.74617659105456,199.00869747891824,193.23103312750717,194.70755004882812,9045844
2015-02-09,192.8458658213798,196.4408594587449,190.87717644873985,191.88291931152344,8839692
2015-02-10,192.16108189681194,193.55199173331846,184.3077237267607,188.73727416992188,13651008
2015-02-11,189.5932293784795,193.60551573745482,188.95126984622166,192.73886108398438,9781008
2015-02-12,194.30096384372987,195.5741837758089,189.86071414308964,194.5470428466797,8709626
2015-02-13,195.58491278397295,197.04003170359636,194.52567443154445,196.33387756347656,7393680
2015-02-16,196.59062786062142,197.76757030685985,192.58905496930115,193.188232421875,12266698
2015-02-18,192.58905451039527,194.30096559739172,191.3907281770942,192.942138671875,9835036
2015-02-19,194.07626429908387,194.21536671250524,189.92490432901656,193.02772521972656,9550637
2015-02-20,191.5726498079466,191.7331504312857,186.44764320931512,186.83282470703125,18717199
2015-02-23,186.15874320844807,187.61386200854957,181.2691172193531,182.19996643066406,14104463
2015-02-24,182.79912599269178,183.34479374629717,179.10784076900913,180.06007385253906,19946218
2015-02-25,181.63291376947726,183.28061627120965,179.97449789462246,180.4238739013672,15274116
2015-02-26,181.055073632208,181.88963083377624,179.02219033794566,180.177734375,21459750
2015-02-27,181.36541927892418,184.2435597785605,180.73415877596406,183.0773162841797,18659378
2015-03-02,185.9554218833757,187.3463459741244,183.07728192391377,184.93898010253906,14579511
2015-03-03,185.9554786463608,193.9693253884384,185.61310777575596,192.7602996826172,20636925
2015-03-04,193.87298815397747,194.6540500885291,188.32000476800712,189.98910522460938,14476047
2015-03-05,190.98413517793585,192.32156383523963,187.91341166539758,189.3685302734375,10716702
2015-03-09,189.40063069312518,190.8236520656184,184.91758484346377,186.09451293945312,14065391
2015-03-10,185.94473446187305,187.41055224966092,183.04519614763234,183.84765625,15234060
2015-03-11,184.23284012645408,186.08382507493755,182.40323906798355,183.16290283203125,11635873
2015-03-12,183.60157448825268,185.6130599730144,183.08798974561603,184.8426971435547,11782380
2015-03-13,185.95544114677145,186.08383019735746,181.24771406482,181.91107177734375,12936157
2015-03-16,182.21067397823188,182.73494359136333,179.8140067677036,180.19918823242188,13839990
2015-03-17,182.00735617885903,184.00814260727708,179.96377340198245,183.35548400878906,19070082
2015-03-18,183.38759528846785,186.65091709935052,182.89542295907717,185.88055419921875,9269885
