date,step,phase,nav,cash,cash_pct,daily_return,reward,vol_30d,cvar_30d,mdd_30d,term_ret,term_vol,term_cvar,term_mdd,reward_raw,exposure
2015-07-07T00:00:00.000000000,1,train,999.0501,491436.96,0.0492,-0.000950,-0.090241,0.000000,0.000000,0.000000,-0.094991,0.000000,0.000000,0.000000,-0.094991,0.950000
2015-07-08T00:00:00.000000000,2,train,1025.0941,513287.50,0.0501,0.026069,2.476526,0.000000,0.000000,0.000000,2.606870,0.000000,0.000000,0.000000,2.606870,0.950000
2015-07-09T00:00:00.000000000,3,train,1024.2711,512786.27,0.0501,-0.000803,-0.076269,0.000000,0.000000,0.000000,-0.080283,0.000000,0.000000,0.000000,-0.080283,0.950000
2015-07-10T00:00:00.000000000,4,train,1017.2915,509949.01,0.0501,-0.006814,-0.647349,0.000000,0.000000,0.000000,-0.681420,0.000000,0.000000,0.000000,-0.681420,0.950000
2015-07-13T00:00:00.000000000,5,train,1016.4743,2438208.24,0.2399,-0.000803,-0.076309,0.011597,0.006814,0.008409,-0.080325,0.000000,0.000000,0.000000,-0.080325,0.950000
