date,step,ticker,action,shares,buy_shares,sell_shares,price,value,commission,avg_cost_before,avg_cost_after,realized_pnl,position_after
2015-07-06T00:00:00.000000000,0,ADANIPORTS,BUY,2998,2998,0,316.95,950216.14,950.22,0.0000,317.2670,0.00,2998
2015-07-06T00:00:00.000000000,0,ADANIPOWER,BUY,165750,165750,0,5.73,949747.50,949.75,0.0000,5.7357,0.00,165750
2015-07-06T00:00:00.000000000,0,BANKBARODA,BUY,6417,6417,0,148.00,949716.00,949.72,0.0000,148.1480,0.00,6417
2015-07-06T00:00:00.000000000,0,GAIL,BUY,13275,13275,0,71.58,950200.12,950.20,0.0000,71.6497,0.00,13275
2015-07-06T00:00:00.000000000,0,HAVELLS,BUY,3417,3417,0,278.00,949926.00,949.93,0.0000,278.2780,0.00,3417
2015-07-06T00:00:00.000000000,0,HINDZINC,BUY,5969,5969,0,159.10,949667.94,949.67,0.0000,159.2591,0.00,5969
2015-07-06T00:00:00.000000000,0,JSWSTEEL,BUY,11058,11058,0,85.88,949605.75,949.61,0.0000,85.9609,0.00,11058
2015-07-06T00:00:00.000000000,0,SBILIFE,BUY,23342,23342,0,40.69,949811.33,949.81,0.0000,40.7318,0.00,23342
2015-07-06T00:00:00.000000000,0,SUNPHARMA,BUY,3713,3713,0,255.95,950342.34,950.34,0.0000,256.2059,0.00,3713
2015-07-06T00:00:00.000000000,0,TECHM,BUY,2698,2698,0,352.05,949830.87,949.83,0.0000,352.4020,0.00,2698
2015-07-07T00:00:00.000000000,1,ADANIPORTS,BUY,29,29,0,321.80,9332.20,9.33,317.2670,317.3135,0.00,3027
2015-07-07T00:00:00.000000000,1,ADANIPOWER,SELL,-4287,0,4287,6.03,-25850.61,25.85,5.7357,5.7357,1235.69,161463
2015-07-07T00:00:00.000000000,1,BANKBARODA,SELL,-59,0,59,153.15,-9035.85,9.04,148.1480,148.1480,286.08,6358
2015-07-07T00:00:00.000000000,1,GAIL,BUY,149,149,0,72.56,10811.82,10.81,71.6497,71.6607,0.00,13424
2015-07-07T00:00:00.000000000,1,HAVELLS,SELL,-15,0,15,286.25,-4293.75,4.29,278.2780,278.2780,115.29,3402
2015-07-07T00:00:00.000000000,1,HINDZINC,BUY,85,85,0,160.75,13663.75,13.66,159.2591,159.2823,0.00,6054
2015-07-07T00:00:00.000000000,1,JSWSTEEL,SELL,-23,0,23,88.20,-2028.60,2.03,85.9609,85.9609,49.47,11035
2015-07-07T00:00:00.000000000,1,SBILIFE,SELL,-341,0,341,42.34,-14437.42,14.44,40.7318,40.7318,533.45,23001
2015-07-07T00:00:00.000000000,1,SUNPHARMA,SELL,-50,0,50,266.00,-13300.00,13.30,256.2059,256.2059,476.40,3663
2015-07-07T00:00:00.000000000,1,TECHM,BUY,37,37,0,356.00,13172.00,13.17,352.4020,352.4555,0.00,2735
2015-07-08T00:00:00.000000000,2,ADANIPORTS,SELL,-72,0,72,329.40,-23716.80,23.72,317.3135,317.3135,846.51,2955
2015-07-08T00:00:00.000000000,2,ADANIPOWER,SELL,-675,0,675,6.05,-4083.75,4.08,5.7357,5.7357,208.05,160788
2015-07-08T00:00:00.000000000,2,BANKBARODA,BUY,48,48,0,151.90,7291.20,7.29,148.1480,148.1773,0.00,6406
2015-07-08T00:00:00.000000000,2,GAIL,BUY,172,172,0,71.59,12313.06,12.31,71.6607,71.6607,0.00,13596
2015-07-08T00:00:00.000000000,2,HAVELLS,SELL,-125,0,125,297.00,-37125.00,37.12,278.2780,278.2780,2303.12,3277
2015-07-08T00:00:00.000000000,2,HINDZINC,BUY,93,93,0,158.15,14707.95,14.71,159.2823,159.2676,0.00,6147
2015-07-08T00:00:00.000000000,2,JSWSTEEL,BUY,147,147,0,86.94,12780.91,12.78,85.9609,85.9750,0.00,11182
2015-07-08T00:00:00.000000000,2,SBILIFE,BUY,570,570,0,41.29,23533.07,23.53,40.7318,40.7462,0.00,23571
2015-07-08T00:00:00.000000000,2,SUNPHARMA,SELL,-16,0,16,267.00,-4272.00,4.27,256.2059,256.2059,168.43,3647
2015-07-08T00:00:00.000000000,2,TECHM,SELL,-3,0,3,356.10,-1068.30,1.07,352.4555,352.4555,9.87,2732
2015-07-09T00:00:00.000000000,3,ADANIPORTS,BUY,33,33,0,323.40,10672.20,10.67,317.3135,317.3843,0.00,2988
2015-07-09T00:00:00.000000000,3,BANKBARODA,SELL,-51,0,51,152.05,-7754.55,7.75,148.1773,148.1773,189.76,6355
2015-07-09T00:00:00.000000000,3,GAIL,BUY,206,206,0,70.01,14422.58,14.42,71.6607,71.6371,0.00,13802
2015-07-09T00:00:00.000000000,3,HAVELLS,SELL,-90,0,90,303.40,-27306.00,27.31,278.2780,278.2780,2233.67,3187
2015-07-09T00:00:00.000000000,3,HINDZINC,SELL,-34,0,34,158.00,-5372.00,5.37,159.2676,159.2676,-48.47,6113
2015-07-09T00:00:00.000000000,3,JSWSTEEL,BUY,166,166,0,85.10,14126.60,14.13,85.9750,85.9634,0.00,11348
2015-07-09T00:00:00.000000000,3,SBILIFE,BUY,211,211,0,40.65,8576.42,8.58,40.7462,40.7457,0.00,23782
2015-07-09T00:00:00.000000000,3,TECHM,SELL,-13,0,13,355.45,-4620.85,4.62,352.4555,352.4555,34.31,2719
2015-07-10T00:00:00.000000000,4,ADANIPORTS,BUY,41,41,0,318.75,13068.75,13.07,317.3843,317.4071,0.00,3029
2015-07-10T00:00:00.000000000,4,ADANIPOWER,SELL,-399,0,399,6.02,-2401.98,2.40,5.7357,5.7357,111.02,160389
2015-07-10T00:00:00.000000000,4,BANKBARODA,SELL,-116,0,116,154.75,-17951.00,17.95,148.1773,148.1773,744.49,6239
2015-07-10T00:00:00.000000000,4,GAIL,BUY,200,200,0,68.98,13796.26,13.80,71.6371,71.6002,0.00,14002
2015-07-10T00:00:00.000000000,4,HAVELLS,BUY,33,33,0,300.00,9900.00,9.90,278.2780,278.5037,0.00,3220
2015-07-10T00:00:00.000000000,4,HINDZINC,SELL,-6113,0,6113,161.00,-984193.00,984.19,159.2676,0.0000,9606.23,0
2015-07-10T00:00:00.000000000,4,JSWSTEEL,SELL,-11348,0,11348,84.99,-964466.50,964.47,85.9634,0.0000,-12010.65,0
2015-07-10T00:00:00.000000000,4,SBILIFE,SELL,-146,0,146,40.88,-5968.67,5.97,40.7457,40.7457,13.84,23636
2015-07-10T00:00:00.000000000,4,SUNPHARMA,BUY,82,82,0,259.00,21238.00,21.24,256.2059,256.2731,0.00,3729
2015-07-10T00:00:00.000000000,4,TECHM,SELL,-37,0,37,360.20,-13327.40,13.33,352.4555,352.4555,273.22,2682
2015-07-13T00:00:00.000000000,5,ADANIPORTS,SELL,-24,0,24,319.00,-7656.00,7.66,317.4071,317.4071,30.57,3005
2015-07-13T00:00:00.000000000,5,ADANIPOWER,BUY,6905,6905,0,5.73,39565.65,39.57,5.7357,5.7357,0.00,167294
2015-07-13T00:00:00.000000000,5,AMBUJACEM,BUY,3978,3978,0,241.00,958698.00,958.70,0.0000,241.2410,0.00,3978
2015-07-13T00:00:00.000000000,5,BANKBARODA,SELL,-153,0,153,157.55,-24105.15,24.11,148.1773,148.1773,1409.93,6086
2015-07-13T00:00:00.000000000,5,COALINDIA,BUY,2272,2272,0,421.95,958670.43,958.67,0.0000,422.3720,0.00,2272
2015-07-13T00:00:00.000000000,5,GAIL,BUY,100,100,0,68.03,6802.50,6.80,71.6002,71.5753,0.00,14102
2015-07-13T00:00:00.000000000,5,HAVELLS,SELL,-12,0,12,299.00,-3588.00,3.59,278.5037,278.5037,242.37,3208
2015-07-13T00:00:00.000000000,5,SUNPHARMA,BUY,4,4,0,257.00,1028.00,1.03,256.2731,256.2741,0.00,3733
2015-07-13T00:00:00.000000000,5,TECHM,BUY,8,8,0,356.50,2852.00,2.85,352.4555,352.4686,0.00,2690
