ticker,buy_trades,sell_trades,buy_shares,sell_shares,net_shares,gross_buy_value,gross_sell_value,commission,realized_pnl
ABB,75,78,11804,11804,0,14716071.82,14934373.86,29650.43,188652.45
ADANIENT,225,243,263184,263184,0,42507291.03,43862277.77,86369.56,1268687.54
ADANIGREEN,191,221,485777,482568,3209,59521857.95,59466873.55,118988.71,3189543.65
ADANIPORTS,266,264,174046,174046,0,71812437.30,72466002.95,144278.40,509287.07
ADANIPOWER,818,835,20030549,20005287,25262,307296989.98,306804401.29,614101.64,2867192.83
AMBUJACEM,89,85,59628,59628,0,15197484.75,15200558.70,30398.06,-27324.49
APOLLOHOSP,25,17,3259,3259,0,4340476.25,4320214.25,8660.70,-28922.70
ASIANPAINT,92,98,16761,16761,0,17004317.75,17117552.40,34121.90,79112.72
AXISBANK,16,2,3543,3543,0,2097919.35,1849663.80,3947.57,-252203.21
BAJAJ-AUTO,3,2,408,408,0,1211610.95,1129501.60,2341.12,-84450.50
BAJAJFINSV,144,147,67483,67483,0,21584444.02,22033417.89,43617.88,405348.47
BAJAJHFL,43,44,315407,315407,0,38777362.61,39114156.08,77891.51,258901.75
BAJAJHLDNG,71,78,6648,6648,0,13997226.00,13888468.25,27885.66,-136643.50
BAJFINANCE,796,817,789679,781476,8203,472477109.80,469717750.99,942195.49,4813264.61
BANKBARODA,22,27,20650,20650,0,3736266.35,3771006.40,7507.31,27232.80
BEL,6,12,78319,78319,0,3135524.31,3255560.70,6391.01,113030.03
BHARTIARTL,96,112,38791,38791,0,15628896.01,15591420.31,31220.24,-68636.66
BOSCHLTD,4,5,108,108,0,2224967.40,2233876.20,4458.85,4449.96
BPCL,163,134,87565,87565,0,17172053.66,17167245.70,34339.41,-39283.77
BRITANNIA,97,88,11068,11068,0,20284317.72,20541638.02,40825.99,216493.48
CANBK,45,58,211187,211187,0,12667434.70,12876060.66,25543.31,183383.56
CGPOWER,175,175,6435795,6435795,0,70948781.84,67704290.23,138653.08,-3383174.01
CHOLAFIN,8,5,912,912,0,1035522.55,1019250.50,2054.78,-18326.84
CIPLA,17,28,3183,3183,0,2085468.50,2167931.55,4253.40,78209.67
COALINDIA,120,117,72461,72461,0,19068107.00,18877211.95,37945.42,-228840.43
DIVISLAB,58,48,5882,5882,0,6127619.30,6268875.25,12396.49,128854.39
DLF,95,100,100763,100763,0,22592615.10,22799380.25,45391.99,161372.91
DMART,629,681,75209,75209,0,227602992.30,227212777.05,454815.85,-845031.30
DRREDDY,2,3,1545,1545,0,941994.42,897277.60,1839.27,-46556.07
EICHERMOT,5,5,746,746,0,2076273.40,2129397.11,4205.65,48921.49
ETERNAL,16,25,32719,31247,1472,6781397.00,6233946.55,13015.35,-55219.68
GAIL,50,46,145229,145229,0,10413232.71,10307226.00,20720.49,-126591.53
GODREJCP,89,83,8849,8849,0,4135033.70,4271930.34,8406.86,128502.99
GRASIM,53,52,10525,10525,0,7286098.13,7406289.53,14692.36,105502.01
HAVELLS,666,672,245727,244730,997,278352198.60,279628661.55,557980.79,2212363.12
HCLTECH,3,2,2384,2384,0,1001071.88,997271.12,1998.34,-5822.60
HDFCBANK,32,38,19404,19404,0,6539226.70,6558126.14,13097.34,5847.77
HDFCLIFE,4,6,3150,3150,0,1805894.00,1890417.65,3696.31,80827.37
HINDALCO,402,419,294003,294003,0,104768542.85,106766488.05,211535.18,1786410.02
HINDUNILVR,1,2,1110,1110,0,972415.50,956816.60,1929.24,-17528.12
HINDZINC,92,99,80987,80987,0,17235013.80,17649494.75,34884.54,379596.59
ICICIBANK,630,632,398674,395141,3533,378480983.35,376771158.10,755252.16,2415684.89
ICICIGI,184,175,68314,67172,1142,124935118.70,123215059.60,248150.12,304314.21
INDHOTEL,124,113,122293,122293,0,13829930.30,14135576.13,27965.58,277787.49
INDIGO,730,777,114501,114501,0,251557061.30,254434697.10,505992.11,2371644.73
INFY,19,17,10526,10526,0,5760020.18,5860654.54,11620.66,89031.50
IOC,93,109,133755,133755,0,13976545.57,14476663.01,28453.08,471648.14
ITC,37,42,40575,40575,0,9633564.26,9787762.81,19421.31,134772.13
JINDALSTEL,153,149,121434,121434,0,20954596.55,21109965.40,42064.56,113304.27
JSWENERGY,19,18,80582,80582,0,5472675.55,5515115.35,10987.78,31451.92
JSWSTEEL,863,892,920929,917479,3450,542596695.63,546256580.20,1088853.33,6597640.48
KOTAKBANK,748,761,1266218,1252845,13373,436756081.40,432427414.31,869183.57,547477.57
LODHA,346,366,252615,252615,0,228597093.93,231416859.31,460014.08,2359747.17
M&M,16,10,5953,5953,0,3872828.09,3785406.20,7658.23,-95087.28
MARUTI,4,8,423,423,0,1852653.45,1913066.95,3765.71,56647.72
MOTHERSON,234,191,314398,314398,0,13908666.31,14241830.26,28150.58,305022.42
NAUKRI,72,71,47996,47996,0,20172391.41,20585347.46,40757.74,372198.48
NESTLEIND,25,19,17131,17131,0,5353715.21,5240037.35,10593.75,-124240.92
NTPC,16,14,19342,19342,0,2908055.67,2843043.63,5751.07,-70765.08
ONGC,47,57,20869,20869,0,3887240.75,4097543.00,7984.73,202334.65
PFC,6,4,18773,18773,0,1934878.22,1925925.78,3860.81,-12813.19
PIDILITIND,14,12,12691,12691,0,4190231.00,4207168.72,8397.41,8542.68
PNB,42,27,49912,49912,0,7369526.50,7186816.10,14556.36,-197266.72
POWERGRID,72,88,147741,147741,0,16236132.16,16341052.07,32576.88,72274.15
RECLTD,66,92,38298,38298,0,4518008.22,5111950.44,9629.95,584422.08
RELIANCE,67,54,45195,45195,0,11843513.68,11780177.09,23623.53,-86974.18
SHREECEM,390,390,6655,6655,0,138592818.00,140071983.60,278664.85,1200500.99
SHRIRAMFIN,21,20,14831,14831,0,3546845.42,3405249.65,6952.08,-148565.61
SIEMENS,12,12,5643,5643,0,4292160.93,4101215.94,8393.38,-199328.95
SOLARINDS,22,16,4614,4614,0,3051810.46,3073944.66,6125.74,16008.49
SUNPHARMA,78,73,7704,7704,0,5956282.90,5836586.25,11792.85,-131489.56
TATACONSUM,105,108,68069,68069,0,13634146.31,13856522.52,27490.71,194886.76
TATAPOWER,1,4,6383,6383,0,727662.00,674944.40,1402.60,-54120.21
TATASTEEL,169,176,464236,464236,0,37167344.83,37043784.26,74211.41,-198104.76
TCS,1,4,890,890,0,1070225.00,1067848.70,2138.08,-4514.39
TECHM,40,47,8635,8635,0,12398655.75,12555947.30,24954.62,132336.94
TITAN,572,635,103798,103221,577,189926908.10,189392524.90,379319.68,1248556.95
TORNTPHARM,19,27,4545,4545,0,3265394.35,3362449.26,6627.82,90435.05
TRENT,87,113,61226,61226,0,30706169.34,30904876.56,61611.04,137130.77
TVSMOTOR,241,249,213840,213840,0,115405740.65,117353574.20,232759.34,1715073.95
ULTRACEMCO,72,78,3968,3968,0,15352895.55,15800387.10,31153.31,416338.23
UNITDSPR,20,17,7742,7742,0,11854654.50,11515040.50,23369.69,-362983.74
VBL,182,200,804268,804268,0,47315566.68,47602902.12,94918.17,192199.88
VEDL,192,205,146058,146058,0,30434880.40,30431085.40,60866.00,-64660.83
WIPRO,87,79,81848,81848,0,8616854.85,8654072.67,17270.91,19998.70
ZYDUSLIFE,3,2,2471,2471,0,937699.80,953436.96,1891.14,13846.07
