step,phase,actor_loss,critic_loss,actor_grad_norm,weight_mean,weight_std
32,train,-0.001504,0.158907,0.0,0.0094,0.0283
33,train,-0.002023,0.163292,0.0,0.0094,0.0283
34,train,-0.002336,0.147691,0.0,0.0094,0.0283
35,train,-0.002478,0.162205,0.0,0.0094,0.0283
36,train,-0.002692,0.201217,0.0,0.0094,0.0283
37,train,-0.002990,0.208842,0.0,0.0094,0.0283
38,train,-0.003266,0.213792,0.0,0.0094,0.0283
39,train,-0.003532,0.235450,0.0,0.0094,0.0283
40,train,-0.003812,0.260651,0.0,0.0094,0.0283
41,train,-0.004036,0.243338,0.0,0.0094,0.0283
42,train,-0.004370,0.176187,0.0,0.0094,0.0283
43,train,-0.004648,0.235007,0.0,0.0094,0.0284
44,train,-0.005039,0.261589,0.0,0.0094,0.0283
45,train,-0.005354,0.242327,0.0,0.0094,0.0283
46,train,-0.005750,0.213703,0.0,0.0094,0.0284
47,train,-0.006150,0.242784,0.0,0.0093,0.0283
48,train,-0.006173,0.236319,0.0,0.0093,0.0283
49,train,-0.005962,0.223722,0.0,0.0094,0.0284
50,train,-0.005860,0.192304,0.0,0.0094,0.0283
51,train,-0.005627,0.241685,0.0,0.0094,0.0284
52,train,-0.005455,0.280299,0.0,0.0094,0.0284
53,train,-0.005421,0.229182,0.0,0.0094,0.0284
54,train,-0.005309,0.212634,0.0,0.0094,0.0284
55,train,-0.005667,0.164218,0.0,0.0095,0.0285
56,train,-0.006113,0.160196,0.0,0.0094,0.0283
57,train,-0.006784,0.180788,0.0,0.0094,0.0284
58,train,-0.007036,0.218682,0.0,0.0093,0.0282
59,train,-0.006911,0.236411,0.0,0.0094,0.0283
60,train,-0.006831,0.259461,0.0,0.0094,0.0283
61,train,-0.007647,0.184325,0.0,0.0094,0.0283
62,train,-0.007860,0.201671,0.0,0.0094,0.0283
63,train,-0.007305,0.223553,0.0,0.0093,0.0282
64,train,-0.006230,0.170366,0.0,0.0094,0.0284
65,train,-0.006010,0.189291,0.0,0.0093,0.0282
66,train,-0.006362,0.192716,0.0,0.0094,0.0284
67,train,-0.008282,0.240215,0.0,0.0095,0.0285
68,train,-0.010625,0.195102,0.0,0.0094,0.0284
69,train,-0.013028,0.205620,0.0,0.0094,0.0283
70,train,-0.014111,0.194965,0.0,0.0094,0.0283
71,train,-0.013355,0.161486,0.0,0.0093,0.0282
72,train,-0.012530,0.149276,0.0,0.0094,0.0284
73,train,-0.010225,0.187175,0.0,0.0094,0.0284
74,train,-0.006778,0.175814,0.0,0.0094,0.0284
75,train,-0.005152,0.159096,0.0,0.0093,0.0283
76,train,-0.005214,0.184879,0.0,0.0095,0.0285
77,train,-0.004341,0.145641,0.0,0.0094,0.0284
78,train,0.000007,0.190959,0.0,0.0093,0.0282
79,train,0.003444,0.183845,0.0,0.0093,0.0282
80,train,0.007569,0.180889,0.0,0.0093,0.0283
81,train,0.011821,0.183686,0.0,0.0094,0.0283
82,train,0.012985,0.156708,0.0,0.0094,0.0283
83,train,0.014903,0.137430,0.0,0.0094,0.0283
84,train,0.017766,0.156977,0.0,0.0093,0.0282
85,train,0.020932,0.177834,0.0,0.0094,0.0283
86,train,0.022428,0.150613,0.0,0.0095,0.0285
87,train,0.023790,0.172548,0.0,0.0094,0.0283
88,train,0.023834,0.197334,0.0,0.0092,0.0281
89,train,0.025383,0.183811,0.0,0.0092,0.0281
90,train,0.024081,0.141614,0.0,0.0094,0.0284
91,train,0.023039,0.121628,0.0,0.0094,0.0283
92,train,0.021431,0.130815,0.0,0.0094,0.0284
93,train,0.021022,0.103852,0.0,0.0093,0.0282
94,train,0.019972,0.138917,0.0,0.0093,0.0283
95,train,0.016707,0.177629,0.0,0.0093,0.0282
96,train,0.012767,0.180130,0.0,0.0093,0.0282
97,train,0.011308,0.177841,0.0,0.0094,0.0283
98,train,0.011821,0.200092,0.0,0.0094,0.0284
99,train,0.013137,0.212315,0.0,0.0094,0.0283
100,train,0.012533,0.191408,0.0,0.0095,0.0285
101,train,0.012606,0.182503,0.0,0.0094,0.0283
102,train,0.015426,0.118830,0.0,0.0093,0.0282
103,train,0.018580,0.179570,0.0,0.0094,0.0284
104,train,0.020677,0.164569,0.0,0.0094,0.0283
105,train,0.023172,0.100426,0.0,0.0093,0.0282
106,train,0.024529,0.120088,0.0,0.0094,0.0284
107,train,0.024109,0.163993,0.0,0.0093,0.0283
108,train,0.026335,0.179674,0.0,0.0094,0.0284
109,train,0.027186,0.175899,0.0,0.0094,0.0284
110,train,0.027785,0.180099,0.0,0.0094,0.0283
111,train,0.028805,0.164221,0.0,0.0094,0.0283
112,train,0.028424,0.144557,0.0,0.0092,0.0281
113,train,0.029382,0.128027,0.0,0.0093,0.0283
114,train,0.030813,0.136969,0.0,0.0094,0.0283
115,train,0.030949,0.120432,0.0,0.0094,0.0284
116,train,0.030242,0.206559,0.0,0.0095,0.0285
117,train,0.030714,0.155193,0.0,0.0091,0.0280
118,train,0.027462,0.211141,0.0,0.0094,0.0284
119,train,0.026433,0.148389,0.0,0.0091,0.0280
120,train,0.024138,0.112717,0.0,0.0094,0.0283
121,train,0.021063,0.187966,0.0,0.0094,0.0284
122,train,0.018241,0.161923,0.0,0.0093,0.0282
123,train,0.016289,0.137142,0.0,0.0093,0.0282
124,train,0.015066,0.126405,0.0,0.0093,0.0283
125,train,0.013776,0.166415,0.0,0.0093,0.0282
126,train,0.012789,0.146933,0.0,0.0093,0.0283
127,train,0.010467,0.128939,0.0,0.0094,0.0284
128,train,0.007012,0.127294,0.0,0.0093,0.0283
129,train,0.002191,0.105603,0.0,0.0094,0.0283
130,train,0.000189,0.148492,0.0,0.0092,0.0281
131,train,-0.002065,0.127735,0.0,0.0095,0.0285
132,train,-0.005163,0.136895,0.0,0.0094,0.0283
133,train,-0.006641,0.191049,0.0,0.0094,0.0283
134,train,-0.009137,0.107864,0.0,0.0094,0.0283
135,train,-0.014424,0.160630,0.0,0.0094,0.0284
136,train,-0.016461,0.183223,0.0,0.0093,0.0282
137,train,-0.020102,0.115350,0.0,0.0093,0.0282
138,train,-0.020484,0.146676,0.0,0.0093,0.0282
139,train,-0.018215,0.214674,0.0,0.0093,0.0282
140,train,-0.016885,0.147527,0.0,0.0094,0.0283
141,train,-0.014361,0.141067,0.0,0.0093,0.0282
142,train,-0.013001,0.149232,0.0,0.0093,0.0282
143,train,-0.013119,0.091763,0.0,0.0094,0.0283
144,train,-0.010114,0.179614,0.0,0.0093,0.0283
145,train,-0.006481,0.136464,0.0,0.0094,0.0284
146,train,-0.003851,0.153931,0.0,0.0093,0.0282
147,train,-0.001026,0.074401,0.0,0.0094,0.0284
148,train,0.002466,0.134097,0.0,0.0094,0.0283
149,train,0.006145,0.177129,0.0,0.0094,0.0284
150,train,0.009569,0.152388,0.0,0.0094,0.0283
151,train,0.013639,0.194437,0.0,0.0094,0.0283
152,train,0.017072,0.146887,0.0,0.0093,0.0282
153,train,0.020724,0.163395,0.0,0.0093,0.0282
154,train,0.021689,0.195787,0.0,0.0094,0.0284
155,train,0.023837,0.135159,0.0,0.0094,0.0284
156,train,0.029666,0.166729,0.0,0.0093,0.0282
157,train,0.032566,0.118147,0.0,0.0092,0.0281
158,train,0.038027,0.168538,0.0,0.0093,0.0282
159,train,0.046196,0.138534,0.0,0.0094,0.0283
160,train,0.050243,0.141764,0.0,0.0093,0.0282
161,train,0.055166,0.175581,0.0,0.0094,0.0283
162,train,0.057051,0.150446,0.0,0.0092,0.0281
163,train,0.057783,0.147920,0.0,0.0094,0.0283
164,train,0.058469,0.141837,0.0,0.0094,0.0283
165,train,0.060116,0.168586,0.0,0.0094,0.0283
166,train,0.061184,0.169825,0.0,0.0094,0.0283
167,train,0.058850,0.136086,0.0,0.0093,0.0283
168,train,0.059134,0.187542,0.0,0.0093,0.0282
169,train,0.058622,0.145905,0.0,0.0093,0.0282
170,train,0.058348,0.183287,0.0,0.0093,0.0282
171,train,0.056304,0.148626,0.0,0.0096,0.0286
172,train,0.053253,0.183038,0.0,0.0093,0.0283
173,train,0.050160,0.158094,0.0,0.0094,0.0283
174,train,0.051113,0.172271,0.0,0.0093,0.0282
175,train,0.052288,0.195628,0.0,0.0092,0.0281
176,train,0.054461,0.150324,0.0,0.0095,0.0285
177,train,0.055740,0.159122,0.0,0.0093,0.0282
178,train,0.057158,0.189143,0.0,0.0094,0.0283
179,train,0.057892,0.156457,0.0,0.0092,0.0281
180,train,0.058407,0.126451,0.0,0.0094,0.0283
181,train,0.058441,0.164173,0.0,0.0093,0.0282
182,train,0.058815,0.214595,0.0,0.0093,0.0283
183,train,0.058777,0.098250,0.0,0.0093,0.0283
184,train,0.058546,0.114984,0.0,0.0094,0.0283
185,train,0.053457,0.157210,0.0,0.0095,0.0285
186,train,0.048336,0.129106,0.0,0.0093,0.0282
187,train,0.044378,0.174285,0.0,0.0094,0.0284
188,train,0.042038,0.213935,0.0,0.0091,0.0280
189,train,0.038493,0.167697,0.0,0.0093,0.0282
190,train,0.033936,0.171539,0.0,0.0094,0.0283
191,train,0.028153,0.129855,0.0,0.0093,0.0282
192,train,0.023727,0.122598,0.0,0.0095,0.0285
193,train,0.017642,0.169511,0.0,0.0093,0.0283
194,train,0.012525,0.158819,0.0,0.0092,0.0281
195,train,0.004704,0.202123,0.0,0.0094,0.0284
196,train,-0.001547,0.194341,0.0,0.0094,0.0283
197,train,-0.006988,0.153036,0.0,0.0092,0.0281
198,train,-0.010847,0.103225,0.0,0.0094,0.0283
199,train,-0.013128,0.127446,0.0,0.0091,0.0280
200,train,-0.017748,0.162905,0.0,0.0093,0.0282
201,train,-0.020058,0.147781,0.0,0.0093,0.0282
202,train,-0.024273,0.154886,0.0,0.0094,0.0283
203,train,-0.028608,0.163270,0.0,0.0092,0.0281
204,train,-0.031801,0.167845,0.0,0.0094,0.0284
205,train,-0.034933,0.141990,0.0,0.0094,0.0283
206,train,-0.037847,0.150160,0.0,0.0093,0.0282
207,train,-0.039659,0.094063,0.0,0.0093,0.0283
208,train,-0.040238,0.187477,0.0,0.0094,0.0284
209,train,-0.040306,0.234895,0.0,0.0094,0.0283
210,train,-0.041641,0.105069,0.0,0.0093,0.0282
211,train,-0.041504,0.145984,0.0,0.0094,0.0283
212,train,-0.041884,0.107267,0.0,0.0094,0.0283
213,train,-0.040372,0.170558,0.0,0.0093,0.0282
214,train,-0.040811,0.155321,0.0,0.0092,0.0281
215,train,-0.042558,0.136703,0.0,0.0093,0.0282
216,train,-0.042335,0.149698,0.0,0.0094,0.0284
217,train,-0.041248,0.116771,0.0,0.0093,0.0283
218,train,-0.041517,0.152880,0.0,0.0091,0.0280
219,train,-0.040990,0.110143,0.0,0.0094,0.0283
220,train,-0.040721,0.168816,0.0,0.0094,0.0283
221,train,-0.041580,0.170567,0.0,0.0094,0.0283
222,train,-0.042372,0.136440,0.0,0.0093,0.0282
223,train,-0.041401,0.137349,0.0,0.0094,0.0283
224,train,-0.040061,0.162090,0.0,0.0091,0.0279
225,train,-0.038753,0.157005,0.0,0.0094,0.0284
226,train,-0.037713,0.121936,0.0,0.0093,0.0282
227,train,-0.035354,0.124610,0.0,0.0094,0.0283
228,train,-0.035230,0.127637,0.0,0.0094,0.0284
229,train,-0.035011,0.161632,0.0,0.0092,0.0281
230,train,-0.032741,0.162565,0.0,0.0094,0.0284
231,train,-0.032576,0.154353,0.0,0.0095,0.0285
232,train,-0.033450,0.152447,0.0,0.0095,0.0285
233,train,-0.034435,0.162235,0.0,0.0094,0.0283
234,train,-0.036535,0.150666,0.0,0.0091,0.0280
235,train,-0.039460,0.128469,0.0,0.0094,0.0284
236,train,-0.044526,0.141745,0.0,0.0092,0.0281
237,train,-0.049262,0.182383,0.0,0.0094,0.0283
238,train,-0.052723,0.187646,0.0,0.0093,0.0283
239,train,-0.055286,0.100235,0.0,0.0094,0.0283
240,train,-0.055979,0.114961,0.0,0.0094,0.0283
241,train,-0.055789,0.142309,0.0,0.0093,0.0282
242,train,-0.056798,0.214410,0.0,0.0093,0.0283
243,train,-0.056644,0.146827,0.0,0.0093,0.0283
244,train,-0.054435,0.152917,0.0,0.0094,0.0284
245,train,-0.050338,0.130621,0.0,0.0094,0.0283
246,train,-0.047834,0.122069,0.0,0.0094,0.0284
247,train,-0.044987,0.157778,0.0,0.0093,0.0282
248,train,-0.043351,0.115572,0.0,0.0094,0.0284
249,train,-0.042113,0.146452,0.0,0.0094,0.0284
250,train,-0.042564,0.144301,0.0,0.0093,0.0283
251,train,-0.041730,0.127685,0.0,0.0093,0.0282
252,train,-0.040867,0.110543,0.0,0.0093,0.0282
253,train,-0.040294,0.153732,0.0,0.0092,0.0281
254,train,-0.041871,0.153457,0.0,0.0094,0.0284
255,train,-0.044605,0.122863,0.0,0.0094,0.0284
256,train,-0.048053,0.219351,0.0,0.0093,0.0282
257,train,-0.049825,0.137315,0.0,0.0094,0.0283
258,train,-0.051769,0.152376,0.0,0.0094,0.0283
259,train,-0.053850,0.134805,0.0,0.0093,0.0282
260,train,-0.056207,0.148643,0.0,0.0094,0.0284
261,train,-0.060089,0.151005,0.0,0.0094,0.0284
262,train,-0.063853,0.161060,0.0,0.0091,0.0279
263,train,-0.066630,0.145149,0.0,0.0095,0.0285
264,train,-0.070426,0.189650,0.0,0.0093,0.0282
265,train,-0.074449,0.177482,0.0,0.0095,0.0285
266,train,-0.079088,0.162762,0.0,0.0095,0.0284
267,train,-0.082184,0.156628,0.0,0.0094,0.0283
268,train,-0.085966,0.148343,0.0,0.0093,0.0282
269,train,-0.087861,0.129770,0.0,0.0092,0.0281
270,train,-0.091227,0.231121,0.0,0.0091,0.0279
271,train,-0.094753,0.145972,0.0,0.0092,0.0280
272,train,-0.095067,0.160054,0.0,0.0092,0.0281
273,train,-0.094889,0.120824,0.0,0.0092,0.0281
274,train,-0.095060,0.140571,0.0,0.0093,0.0282
275,train,-0.094112,0.118941,0.0,0.0093,0.0282
276,train,-0.093546,0.140587,0.0,0.0093,0.0282
277,train,-0.091847,0.162881,0.0,0.0093,0.0282
278,train,-0.090253,0.126347,0.0,0.0094,0.0283
279,train,-0.087812,0.127130,0.0,0.0093,0.0280
280,train,-0.084082,0.153827,0.0,0.0093,0.0281
281,train,-0.081815,0.142828,0.0,0.0094,0.0283
282,train,-0.077525,0.130088,0.0,0.0093,0.0282
283,train,-0.074193,0.116991,0.0,0.0095,0.0284
284,train,-0.071805,0.156101,0.0,0.0094,0.0284
285,train,-0.067446,0.157475,0.0,0.0092,0.0280
286,train,-0.062772,0.155702,0.0,0.0093,0.0282
287,train,-0.057637,0.161717,0.0,0.0093,0.0282
288,train,-0.054719,0.140869,0.0,0.0094,0.0283
289,train,-0.052547,0.159488,0.0,0.0092,0.0281
290,train,-0.050709,0.151113,0.0,0.0093,0.0280
291,train,-0.047673,0.120265,0.0,0.0092,0.0280
292,train,-0.044453,0.179133,0.0,0.0093,0.0280
293,train,-0.041004,0.120271,0.0,0.0094,0.0282
294,train,-0.038840,0.115930,0.0,0.0093,0.0281
295,train,-0.038235,0.118825,0.0,0.0093,0.0281
296,train,-0.038082,0.187966,0.0,0.0092,0.0280
297,train,-0.036883,0.163767,0.0,0.0092,0.0280
298,train,-0.035714,0.142928,0.0,0.0094,0.0282
299,train,-0.035126,0.174345,0.0,0.0091,0.0278
300,train,-0.038868,0.161349,0.0,0.0093,0.0281
301,train,-0.042028,0.173193,0.0,0.0092,0.0277
302,train,-0.046385,0.091109,0.0,0.0093,0.0280
303,train,-0.048664,0.107174,0.0,0.0092,0.0279
304,train,-0.050402,0.114651,0.0,0.0093,0.0281
305,train,-0.053577,0.158544,0.0,0.0093,0.0280
306,train,-0.056802,0.219908,0.0,0.0091,0.0279
307,train,-0.061533,0.162825,0.0,0.0092,0.0279
308,train,-0.065639,0.169800,0.0,0.0093,0.0281
309,train,-0.067835,0.153968,0.0,0.0093,0.0280
310,train,-0.068637,0.121695,0.0,0.0092,0.0278
311,train,-0.067631,0.171564,0.0,0.0093,0.0280
312,train,-0.067226,0.170072,0.0,0.0091,0.0278
313,train,-0.065412,0.124883,0.0,0.0093,0.0279
314,train,-0.063306,0.170562,0.0,0.0092,0.0280
315,train,-0.061991,0.124693,0.0,0.0094,0.0282
316,train,-0.058208,0.184133,0.0,0.0092,0.0279
317,train,-0.054849,0.135677,0.0,0.0091,0.0276
318,train,-0.050623,0.145118,0.0,0.0093,0.0280
319,train,-0.046956,0.115229,0.0,0.0091,0.0276
320,train,-0.043886,0.089348,0.0,0.0090,0.0277
321,train,-0.040132,0.103744,0.0,0.0091,0.0277
322,train,-0.035331,0.200094,0.0,0.0092,0.0278
323,train,-0.031500,0.128949,0.0,0.0091,0.0277
324,train,-0.027242,0.151860,0.0,0.0092,0.0279
325,train,-0.022913,0.107289,0.0,0.0093,0.0279
326,train,-0.020276,0.118600,0.0,0.0090,0.0275
327,train,-0.015990,0.261653,0.0,0.0093,0.0280
328,train,-0.011169,0.160916,0.0,0.0092,0.0278
329,train,-0.007386,0.100544,0.0,0.0093,0.0279
330,train,-0.003269,0.188576,0.0,0.0092,0.0279
331,train,0.000492,0.170302,0.0,0.0092,0.0278
332,train,0.002435,0.143981,0.0,0.0094,0.0281
333,train,0.003913,0.145755,0.0,0.0091,0.0276
334,train,0.005459,0.115382,0.0,0.0089,0.0273
335,train,0.005836,0.114386,0.0,0.0091,0.0274
336,train,0.007587,0.172087,0.0,0.0093,0.0277
337,train,0.009830,0.120804,0.0,0.0092,0.0278
338,train,0.012242,0.097919,0.0,0.0091,0.0276
339,train,0.014798,0.132293,0.0,0.0092,0.0278
340,train,0.018374,0.157914,0.0,0.0092,0.0279
341,train,0.021120,0.160231,0.0,0.0092,0.0279
342,train,0.024862,0.182135,0.0,0.0091,0.0277
343,train,0.028245,0.151942,0.0,0.0092,0.0279
344,train,0.031206,0.146040,0.0,0.0091,0.0277
345,train,0.034395,0.154002,0.0,0.0091,0.0275
346,train,0.037617,0.126313,0.0,0.0091,0.0274
347,train,0.039513,0.158659,0.0,0.0092,0.0280
348,train,0.041920,0.144528,0.0,0.0092,0.0277
349,train,0.043648,0.142505,0.0,0.0093,0.0278
350,train,0.043016,0.112558,0.0,0.0091,0.0277
351,train,0.040983,0.128859,0.0,0.0093,0.0280
352,train,0.039420,0.118177,0.0,0.0093,0.0280
353,train,0.038969,0.176830,0.0,0.0093,0.0278
354,train,0.037921,0.132841,0.0,0.0092,0.0277
355,train,0.038150,0.099695,0.0,0.0090,0.0274
356,train,0.038444,0.111800,0.0,0.0091,0.0274
357,train,0.038553,0.153456,0.0,0.0091,0.0275
358,train,0.040766,0.179821,0.0,0.0091,0.0276
359,train,0.041044,0.177478,0.0,0.0092,0.0277
360,train,0.040792,0.236447,0.0,0.0092,0.0278
361,train,0.039632,0.153828,0.0,0.0092,0.0277
362,train,0.040007,0.117413,0.0,0.0091,0.0274
363,train,0.040423,0.124607,0.0,0.0090,0.0273
364,train,0.040319,0.133649,0.0,0.0091,0.0277
365,train,0.040081,0.101480,0.0,0.0090,0.0274
366,train,0.039852,0.127894,0.0,0.0090,0.0272
367,train,0.040580,0.174694,0.0,0.0090,0.0274
368,train,0.041238,0.138932,0.0,0.0092,0.0279
369,train,0.041423,0.111030,0.0,0.0089,0.0270
370,train,0.040683,0.098138,0.0,0.0091,0.0274
371,train,0.040229,0.178401,0.0,0.0090,0.0274
372,train,0.038901,0.117667,0.0,0.0090,0.0271
373,train,0.037935,0.158495,0.0,0.0090,0.0272
374,train,0.039527,0.159654,0.0,0.0090,0.0274
375,train,0.039422,0.106916,0.0,0.0092,0.0278
376,train,0.039488,0.116425,0.0,0.0091,0.0273
377,train,0.041076,0.140071,0.0,0.0089,0.0270
378,train,0.042566,0.215223,0.0,0.0090,0.0271
379,train,0.044385,0.143693,0.0,0.0090,0.0272
380,train,0.048191,0.151881,0.0,0.0092,0.0277
381,train,0.052734,0.112209,0.0,0.0089,0.0270
382,train,0.054829,0.184547,0.0,0.0089,0.0271
383,train,0.057277,0.134411,0.0,0.0088,0.0268
384,train,0.059602,0.126672,0.0,0.0091,0.0274
385,train,0.061405,0.144716,0.0,0.0090,0.0272
386,train,0.063704,0.131780,0.0,0.0092,0.0277
387,train,0.064461,0.147627,0.0,0.0091,0.0272
388,train,0.068487,0.149132,0.0,0.0090,0.0274
389,train,0.070003,0.144693,0.0,0.0088,0.0269
390,train,0.070622,0.129841,0.0,0.0091,0.0275
391,train,0.070185,0.180346,0.0,0.0091,0.0276
392,train,0.073403,0.195688,0.0,0.0091,0.0275
393,train,0.073866,0.101224,0.0,0.0091,0.0273
394,train,0.074640,0.110656,0.0,0.0089,0.0270
395,train,0.074430,0.150493,0.0,0.0090,0.0271
