date,step,ticker,action,shares,buy_shares,sell_shares,price,value,commission,avg_cost_before,avg_cost_after,realized_pnl,position_after
2015-07-06T00:00:00.000000000,0,BIOCON,BUY,12054,12054,0,78.83,950257.03,950.26,0.0000,78.9122,0.00,12054
2015-07-06T00:00:00.000000000,0,BLUESTARCO,BUY,5705,5705,0,166.50,949882.50,949.88,0.0000,166.6665,0.00,5705
2015-07-06T00:00:00.000000000,0,GAIL,BUY,13272,13272,0,71.58,949985.38,949.99,0.0000,71.6497,0.00,13272
2015-07-06T00:00:00.000000000,0,GMRAIRPORT,BUY,75048,75048,0,12.66,949960.95,949.96,0.0000,12.6707,0.00,75048
2015-07-06T00:00:00.000000000,0,INDIANB,BUY,6834,6834,0,139.00,949926.00,949.93,0.0000,139.1390,0.00,6834
2015-07-06T00:00:00.000000000,0,OBEROIRLTY,BUY,3448,3448,0,275.50,949924.00,949.92,0.0000,275.7755,0.00,3448
2015-07-06T00:00:00.000000000,0,PHOENIXLTD,BUY,5126,5126,0,185.30,949847.82,949.85,0.0000,185.4853,0.00,5126
2015-07-06T00:00:00.000000000,0,RECLTD,BUY,8985,8985,0,105.73,949995.25,950.00,0.0000,105.8370,0.00,8985
2015-07-06T00:00:00.000000000,0,TATACOMM,BUY,3479,3479,0,272.98,949692.47,949.69,0.0000,273.2516,0.00,3479
2015-07-06T00:00:00.000000000,0,TCS,BUY,736,736,0,1290.15,949550.42,949.55,0.0000,1291.4402,0.00,736
2015-07-07T00:00:00.000000000,1,BIOCON,BUY,72,72,0,79.46,5721.00,5.72,78.9122,78.9159,0.00,12126
2015-07-07T00:00:00.000000000,1,BLUESTARCO,BUY,16,16,0,168.45,2695.20,2.70,166.6665,166.6720,0.00,5721
2015-07-07T00:00:00.000000000,1,GMRAIRPORT,SELL,-1262,0,1262,13.06,-16486.09,16.49,12.6707,12.6707,479.18,73786
2015-07-07T00:00:00.000000000,1,INDIANB,SELL,-47,0,47,142.00,-6674.00,6.67,139.1390,139.1390,127.79,6787
2015-07-07T00:00:00.000000000,1,OBEROIRLTY,SELL,-19,0,19,281.00,-5339.00,5.34,275.7755,275.7755,93.93,3429
2015-07-07T00:00:00.000000000,1,PHOENIXLTD,BUY,15,15,0,187.48,2812.13,2.81,185.4853,185.4917,0.00,5141
2015-07-07T00:00:00.000000000,1,RECLTD,SELL,-67,0,67,108.00,-7236.00,7.24,105.8370,105.8370,137.69,8918
2015-07-07T00:00:00.000000000,1,TATACOMM,BUY,48,48,0,273.26,13116.38,13.12,273.2516,273.2554,0.00,3527
2015-07-07T00:00:00.000000000,1,TCS,SELL,-5,0,5,1316.38,-6581.88,6.58,1291.4402,1291.4402,118.09,731
2015-07-08T00:00:00.000000000,2,BIOCON,SELL,-12126,0,12126,78.34,-949971.06,949.97,78.9159,0.0000,-7912.92,0
2015-07-08T00:00:00.000000000,2,BLUESTARCO,BUY,85,85,0,164.50,13982.50,13.98,166.6720,166.6426,0.00,5806
2015-07-08T00:00:00.000000000,2,GAIL,SELL,-13272,0,13272,71.59,-950109.73,950.11,71.6497,0.0000,-1775.75,0
2015-07-08T00:00:00.000000000,2,GMRAIRPORT,SELL,-73786,0,73786,12.93,-953929.23,953.93,12.6707,0.0000,18054.82,0
2015-07-08T00:00:00.000000000,2,GODFRYPHLP,BUY,5595,5595,0,170.67,954880.03,954.88,0.0000,170.8373,0.00,5595
2015-07-08T00:00:00.000000000,2,HAVELLS,BUY,3216,3216,0,297.00,955152.00,955.15,0.0000,297.2970,0.00,3216
2015-07-08T00:00:00.000000000,2,HEROMOTOCO,BUY,374,374,0,2549.55,953531.72,953.53,0.0000,2552.0996,0.00,374
2015-07-08T00:00:00.000000000,2,INDIANB,BUY,96,96,0,138.75,13320.00,13.32,139.1390,139.1355,0.00,6883
2015-07-08T00:00:00.000000000,2,OBEROIRLTY,SELL,-3429,0,3429,284.00,-973836.00,973.84,275.7755,0.0000,27227.97,0
2015-07-08T00:00:00.000000000,2,PNB,BUY,6664,6664,0,143.30,954951.22,954.95,0.0000,143.4433,0.00,6664
2015-07-08T00:00:00.000000000,2,RECLTD,SELL,-8918,0,8918,106.12,-946422.75,946.42,105.8370,0.0000,1622.16,0
2015-07-08T00:00:00.000000000,2,TATACOMM,SELL,-3527,0,3527,278.78,-983271.05,983.27,273.2554,0.0000,18516.12,0
2015-07-08T00:00:00.000000000,2,TCS,SELL,-731,0,731,1298.97,-949550.71,949.55,1291.4402,0.0000,4558.39,0
2015-07-08T00:00:00.000000000,2,UNIONBANK,BUY,5894,5894,0,162.00,954828.00,954.83,0.0000,162.1620,0.00,5894
2015-07-09T00:00:00.000000000,3,BAJAJ-AUTO,BUY,375,375,0,2545.00,954375.00,954.38,0.0000,2547.5450,0.00,375
2015-07-09T00:00:00.000000000,3,BANKBARODA,BUY,6286,6286,0,152.05,955786.32,955.79,0.0000,152.2021,0.00,6286
2015-07-09T00:00:00.000000000,3,BLUESTARCO,SELL,-17,0,17,165.05,-2805.85,2.81,166.6426,166.6426,-29.88,5789
2015-07-09T00:00:00.000000000,3,GODFRYPHLP,BUY,46,46,0,169.37,7790.87,7.79,170.8373,170.8267,0.00,5641
2015-07-09T00:00:00.000000000,3,HAVELLS,SELL,-66,0,66,303.40,-20024.40,20.02,297.2970,297.2970,382.77,3150
2015-07-09T00:00:00.000000000,3,HEROMOTOCO,BUY,2,2,0,2540.10,5080.20,5.08,2552.0996,2552.0493,0.00,376
2015-07-09T00:00:00.000000000,3,PHOENIXLTD,SELL,-20,0,20,186.52,-3730.50,3.73,185.4917,185.4917,16.94,5121
2015-07-09T00:00:00.000000000,3,PNB,BUY,9,9,0,143.20,1288.80,1.29,143.4433,143.4432,0.00,6673
2015-07-09T00:00:00.000000000,3,UNIONBANK,BUY,10,10,0,161.85,1618.50,1.62,162.1620,162.1617,0.00,5904
2015-07-10T00:00:00.000000000,4,BAJAJ-AUTO,BUY,6,6,0,2519.90,15119.40,15.12,2547.5450,2547.1493,0.00,381
2015-07-10T00:00:00.000000000,4,BANKBARODA,SELL,-67,0,67,154.75,-10368.25,10.37,152.2021,152.2021,160.34,6219
2015-07-10T00:00:00.000000000,4,BLUESTARCO,BUY,59,59,0,164.50,9705.50,9.71,166.6426,166.6226,0.00,5848
2015-07-10T00:00:00.000000000,4,GODFRYPHLP,SELL,-90,0,90,173.30,-15597.00,15.60,170.8267,170.8267,207.00,5551
2015-07-10T00:00:00.000000000,4,HAVELLS,BUY,57,57,0,300.00,17100.00,17.10,297.2970,297.3504,0.00,3207
2015-07-10T00:00:00.000000000,4,HEROMOTOCO,SELL,-8,0,8,2609.00,-20872.00,20.87,2552.0493,2552.0493,434.73,368
2015-07-10T00:00:00.000000000,4,INDIANB,BUY,35,35,0,139.15,4870.25,4.87,139.1355,139.1363,0.00,6918
2015-07-10T00:00:00.000000000,4,PHOENIXLTD,BUY,93,93,0,184.50,17158.50,17.16,185.4917,185.4773,0.00,5214
2015-07-10T00:00:00.000000000,4,PNB,SELL,-34,0,34,144.95,-4928.30,4.93,143.4432,143.4432,46.30,6639
2015-07-10T00:00:00.000000000,4,UNIONBANK,SELL,-126,0,126,166.50,-20979.00,20.98,162.1617,162.1617,525.64,5778
2015-07-13T00:00:00.000000000,5,BAJAJ-AUTO,BUY,6,6,0,2480.00,14880.00,14.88,2547.1493,2546.1467,0.00,387
2015-07-13T00:00:00.000000000,5,BANKBARODA,SELL,-114,0,114,157.55,-17960.70,17.96,152.2021,152.2021,591.71,6105
2015-07-13T00:00:00.000000000,5,BLUESTARCO,BUY,51,51,0,163.00,8313.00,8.31,166.6226,166.5927,0.00,5899
2015-07-13T00:00:00.000000000,5,GODFRYPHLP,SELL,-38,0,38,174.42,-6627.83,6.63,170.8267,170.8267,129.79,5513
2015-07-13T00:00:00.000000000,5,HAVELLS,BUY,9,9,0,299.00,2691.00,2.69,297.3504,297.3558,0.00,3216
2015-07-13T00:00:00.000000000,5,HEROMOTOCO,BUY,4,4,0,2580.00,10320.00,10.32,2552.0493,2552.3776,0.00,372
2015-07-13T00:00:00.000000000,5,INDIANB,BUY,53,53,0,138.00,7314.00,7.31,139.1363,139.1287,0.00,6971
