ticker,buy_trades,sell_trades,buy_shares,sell_shares,net_shares,gross_buy_value,gross_sell_value,commission,realized_pnl
360ONE,102,105,172406,172406,0,44006363.87,45336675.26,89343.12,1240954.11
ABB,148,151,18361,18361,0,24224023.08,23881767.88,48105.75,-390376.80
ABCAPITAL,1,2,11415,11415,0,434911.50,479302.50,914.22,43476.80
ACC,12,5,563,563,0,1014669.00,1014401.60,2029.07,-2296.41
ADANIENSOL,10,11,2040,2040,0,1829633.10,1801461.85,3631.09,-31802.36
ADANIENT,30,24,51004,51004,0,3850047.78,3824008.00,7674.30,-33743.48
ADANIGREEN,546,535,198337,198337,0,272580802.25,271900539.40,544481.60,-1224743.81
ADANIPORTS,101,122,4853,4853,0,5050528.55,5124986.60,10175.48,64282.60
ADANIPOWER,24,20,1083129,1083129,0,6261091.85,6225070.67,12486.14,-48507.40
ALKEM,22,21,2632,2632,0,4790689.40,4901767.90,9692.46,101385.99
AMBUJACEM,216,247,69700,69700,0,21925518.85,21954829.95,43880.33,-14569.21
APLAPOLLO,13,14,41400,41400,0,4086938.73,4100395.21,8187.38,5319.08
APOLLOHOSP,75,84,3564,3564,0,13342596.85,13402701.15,26745.32,33359.01
ASHOKLEY,8,9,31869,31869,0,1540807.58,1519744.17,3060.40,-24128.69
ASIANPAINT,85,86,6650,6650,0,9243306.65,9295368.50,18538.74,33523.20
ASTRAL,37,35,5607,5607,0,3318094.04,3332692.61,6650.80,7953.73
ATGL,12,17,1218,1218,0,774469.95,764944.05,1539.39,-11065.31
AUBANK,204,199,112582,112582,0,53183014.54,53953989.74,107136.90,663873.82
AUROPHARMA,2,3,2179,2179,0,1435116.90,1435401.30,2870.52,-2586.11
AXISBANK,6,5,2110,2110,0,1171463.10,1164058.95,2335.52,-9739.66
BAJAJ-AUTO,33,35,2400,2400,0,6066477.00,6026544.05,12093.04,-52025.97
BAJAJFINSV,36,34,26354,26354,0,7678459.47,7898975.73,15577.41,204938.81
BAJAJHFL,4,9,43349,43349,0,5275966.28,5403061.73,10679.02,116416.38
BAJAJHLDNG,128,137,5285,5280,5,12732552.35,12754261.10,25486.78,58954.61
BAJFINANCE,18,16,20045,20045,0,3646056.83,3680727.41,7326.76,27325.02
BANKBARODA,24,20,17912,17912,0,3163782.70,3017218.80,6181.02,-152744.85
BANKINDIA,18,13,18318,18318,0,2971951.55,2877136.10,5849.10,-100664.51
BEL,95,80,181345,181345,0,9528814.20,9510433.70,19039.44,-37388.54
BHARATFORG,74,80,20554,20554,0,12027435.40,11815196.56,23842.66,-236073.82
BHARTIARTL,40,55,6148,6148,0,6206582.52,6275015.44,12481.59,55949.98
BHEL,12,12,42751,42751,0,3363829.74,3313380.46,6677.20,-57149.88
BIOCON,61,71,117701,117701,0,12908374.31,13190334.47,26098.94,256032.43
BLUESTARCO,73,65,46706,46706,0,15497034.37,15260867.80,30757.95,-266904.97
BOSCHLTD,82,69,662,662,0,7848134.05,7875910.15,15724.05,12052.13
BPCL,16,16,13776,13776,0,2833457.68,2962409.67,5795.96,123135.79
BRITANNIA,30,32,4956,4956,0,8449386.75,8364161.92,16813.55,-102038.99
BSE,7,13,10104,10104,0,829146.75,822271.19,1651.39,-8538.26
CANBK,2,1,16433,16433,0,925435.52,884917.05,1810.24,-42337.70
CGPOWER,70,68,219631,219631,0,15293506.70,15386134.90,30679.67,61882.00
CHOLAFIN,39,50,28515,28515,0,5557470.92,5742278.18,11299.76,173507.51
CIPLA,9,9,2178,2178,0,1349792.00,1421893.90,2771.67,69330.26
COALINDIA,67,65,67384,67384,0,14596496.85,14489167.50,29085.71,-136414.99
COFORGE,19,24,44925,44925,0,4554677.56,4601844.24,9156.54,38010.16
COLPAL,41,42,9176,9176,0,10354864.50,10180799.95,20535.72,-194600.25
