ticker,buy_trades,sell_trades,buy_shares,sell_shares,net_shares,gross_buy_value,gross_sell_value,commission,realized_pnl
CONCOR,92,96,28841,28841,0,13249427.82,13016851.59,26266.32,-258824.43
COROMANDEL,113,112,76925,76925,0,23067448.55,23227207.60,46294.74,113464.33
CUMMINSIND,13,18,2919,2919,0,2815760.90,2731953.15,5547.74,-89355.48
DABUR,21,25,24315,24315,0,6956830.85,6977685.50,13934.54,6920.19
DIVISLAB,3,5,1317,1317,0,1565800.85,1508065.10,3073.88,-60809.61
DIXON,19,15,211,211,0,874890.45,879412.85,1754.29,2768.09
DLF,20,16,23766,23766,0,4590001.65,4373534.60,8963.52,-225430.64
DRREDDY,8,10,2072,2072,0,1386432.98,1457198.37,2843.63,67921.75
EICHERMOT,49,64,1942,1942,0,4875520.07,5017666.03,9893.17,132253.53
ETERNAL,1,2,2453,2453,0,232789.70,169486.75,402.27,-63705.23
EXIDEIND,186,167,96673,96673,0,19419202.75,19416045.55,38835.32,-41992.62
FEDERALBNK,32,29,69684,69684,0,5153204.55,5009589.55,10162.78,-153777.85
FORTIS,37,48,60656,60656,0,9886209.95,9683285.75,19569.45,-222493.67
GAIL,29,35,108921,108921,0,10020428.80,10031960.37,20052.18,-8503.69
GMRAIRPORT,145,125,1320571,1320571,0,19479053.42,19008463.03,38486.78,-510308.60
GODFRYPHLP,55,56,20947,20947,0,6875794.20,6856394.74,13732.16,-33096.19
GODREJCP,53,50,24291,24291,0,14505791.90,14656524.56,29162.31,121597.54
GODREJPROP,53,55,13021,13021,0,7196518.70,7471398.25,14667.97,260211.62
GRASIM,157,192,21207,21207,0,19092521.67,19206329.03,38298.85,75537.67
HAL,18,16,15403,15403,0,5619388.08,5700162.06,11319.56,69443.80
HAVELLS,3,3,3282,3282,0,974943.00,1013340.60,1988.27,36409.29
HCLTECH,37,34,8423,8423,0,4606521.49,4630027.39,9236.53,14269.39
HDFCBANK,108,101,17618,17560,58,8163052.15,8180912.72,16343.94,59228.73
HDFCLIFE,2,6,74,74,0,47952.45,49129.50,97.08,1079.97
HEROMOTOCO,24,31,949,949,0,2314641.95,2313631.60,4628.26,-5638.64
HINDALCO,14,12,18005,18005,0,1792204.90,1917616.40,3709.82,121701.71
HINDPETRO,52,44,32429,32429,0,5909112.46,6000373.62,11909.53,79257.21
HINDUNILVR,452,462,39813,39769,44,94718198.55,94263053.45,188981.33,-534238.15
HINDZINC,176,177,49788,49788,0,13192907.50,12931057.55,26123.87,-287973.86
HUDCO,27,20,40741,40741,0,3280013.30,3256005.40,6536.03,-30544.02
ICICIBANK,8,8,3879,3879,0,992465.72,978507.54,1970.98,-15932.42
ICICIGI,380,413,157634,157634,0,216718093.05,219054570.80,435772.76,1900705.61
IDEA,73,71,403556,393161,10395,6993770.34,6705726.08,13699.62,-204074.94
IDFCFIRSTB,5,3,22105,22105,0,1256038.57,1256230.13,2512.27,-2320.73
IGL,27,29,26810,26810,0,3458083.21,3508056.08,6966.22,42963.26
INDHOTEL,56,55,59783,59783,0,7479607.20,7441295.75,14921.05,-53315.01
INDIANB,16,15,12998,12998,0,2921007.30,2874921.10,5795.90,-51882.19
INDIGO,99,105,14563,14522,41,28829344.35,28544408.40,57373.78,-104104.40
INDUSINDBK,59,56,6901,6901,0,8950112.95,9049640.05,17999.78,81527.36
INDUSTOWER,29,37,20033,20033,0,6392173.00,6406043.15,12798.27,1072.00
INFY,72,84,13593,13593,0,10028971.65,10079870.50,20108.84,30790.07
IOC,47,43,84548,84548,0,8695284.27,8856326.86,17551.40,143540.38
IRB,58,54,409836,409836,0,9371869.83,9234926.31,18606.94,-155760.59
IREDA,5,2,63,63,0,11477.04,12174.20,23.65,673.51
ITC,53,48,39170,39170,0,9463820.98,9377746.80,18841.49,-104935.06
JINDALSTEL,80,66,102436,102436,0,13858143.55,13306176.05,27164.33,-579131.83
JSWENERGY,120,122,173287,173287,0,12659803.70,12850669.20,25510.46,165354.94
JSWSTEEL,13,15,37588,37588,0,3767597.21,3933195.61,7700.85,157837.58
KALYANKJIL,3,7,2693,2693,0,285208.70,298461.90,583.68,12669.51
KEI,14,12,19504,19504,0,2505990.65,2773562.85,5279.56,262292.66
KOTAKBANK,30,30,29655,29655,0,5985986.02,6088156.24,12074.10,90096.13
KPITTECH,60,77,235257,235257,0,19176081.95,19948183.55,39124.26,732977.47
LICHSGFIN,108,120,38643,38643,0,19807570.90,19746527.60,39554.10,-100597.19
LICI,54,63,10372,10372,0,6398492.45,6445783.55,12844.23,34446.81
LODHA,23,34,14551,14551,0,8249658.76,8506983.13,16756.67,240567.01
LT,172,180,19844,19844,0,25346904.10,25260875.70,50607.79,-136636.14
LTF,53,58,114407,114201,206,8627400.95,8799266.47,17426.69,210167.09
LUPIN,3,2,525,525,0,896348.60,901938.00,1798.29,3791.09
M&M,65,74,15308,15291,17,11706012.07,11442359.72,23148.45,-225969.23
M&MFIN,15,23,12609,12502,107,2480301.89,2528505.03,5008.79,74851.75
MANKIND,47,54,1477,1477,0,2911509.70,2947029.45,5858.53,29661.15
MARICO,93,79,30885,30885,0,8920699.90,9049017.65,17969.74,110348.18
MARUTI,95,97,2663,2663,0,16800367.25,16870188.90,33670.62,36151.19
MAXHEALTH,431,461,451712,451712,0,262772109.20,266807689.75,529579.92,3506001.80
MFSL,130,123,41287,41287,0,20579304.45,20465428.95,41044.75,-154920.28
MOTHERSON,53,47,311588,311588,0,11744328.03,11298926.74,23043.16,-468683.43
MOTILALOFS,57,60,10841,10841,0,9736941.00,9818161.55,19555.17,61665.42
MPHASIS,19,24,6836,6836,0,4156864.20,4161269.50,8318.12,-3912.82
MRF,51,50,191,191,0,16253749.45,16362672.80,32616.44,76306.96
MUTHOOTFIN,3,2,2112,2112,0,855833.40,891127.60,1746.96,33547.23
NATIONALUM,375,390,642673,642673,0,38856844.80,38985911.80,77842.78,51223.85
NAUKRI,142,129,99647,99647,0,21760928.47,21615117.13,43376.09,-189187.45
NESTLEIND,88,108,54817,54817,0,19679363.94,19880932.87,39560.26,161998.06
NHPC,35,40,193155,193155,0,4590113.10,4636333.70,9226.45,36994.13
NMDC,351,368,848246,848246,0,28138607.06,27940787.77,56079.27,-254016.17
NTPC,49,65,70017,70017,0,7301432.18,7407268.22,14708.82,91085.45
NYKAA,50,64,57248,57248,0,13371666.15,13415760.39,26787.39,17378.66
OBEROIRLTY,52,73,31184,31184,0,13067115.75,13216963.35,26284.11,123563.43
OFSS,46,43,2943,2943,0,10108788.90,10054981.75,20163.78,-73971.00
OIL,41,50,87654,87654,0,8990212.89,8796939.73,17787.20,-211009.83
ONGC,48,42,58136,58136,0,9318051.19,9039730.06,18357.81,-296679.51
PAGEIND,256,259,4923,4923,0,132029512.50,134377280.70,266406.91,2081361.40
PATANJALI,81,64,75928,75928,0,14890287.73,15103133.97,29993.43,182898.04
PAYTM,216,237,137061,137061,0,94371516.00,94206438.05,188578.03,-353655.60
PERSISTENT,61,67,35865,35865,0,11550159.70,11316468.35,22866.63,-256558.04
PFC,5,7,21205,21205,0,2277701.68,2263458.60,4541.16,-18784.25
PHOENIXLTD,152,152,89443,89443,0,25873828.08,26169515.66,52043.31,243637.45
PIDILITIND,131,120,56091,56091,0,24814854.60,24938357.15,49753.30,73835.12
PIIND,127,152,17832,17832,0,18814451.40,19139115.20,37953.61,286710.44
PNB,58,55,28063,28063,0,4309319.25,4257307.65,8566.60,-60578.26
POWERGRID,30,21,20512,20512,0,2518226.01,2475164.35,4993.39,-48091.78
POWERINDIA,21,26,1491,1491,0,1670546.90,1676084.80,3346.63,2191.28
PREMIERENE,6,3,401,401,0,410813.60,410775.50,821.59,-859.70
PRESTIGE,182,190,95008,95008,0,29278652.75,29524566.90,58803.26,187111.22
RECLTD,43,58,78276,78276,0,8679650.54,8462916.16,17142.60,-233879.06
RELIANCE,62,81,28193,28193,0,12524813.72,12566944.12,25091.74,17074.36
SAIL,456,408,551434,551434,0,31132799.07,30742680.19,61875.44,-451994.32
SBICARD,388,385,279113,278963,150,223033862.50,225856091.65,448889.99,2508622.73
SBILIFE,71,77,13324,13324,0,10751706.55,10604940.45,21356.62,-168122.72
SBIN,28,26,15605,15605,0,4023719.20,3973021.05,7996.72,-58694.84
SHREECEM,17,18,305,305,0,5408373.55,5475642.70,10884.02,56385.10
SHRIRAMFIN,116,119,55197,55197,0,15073645.29,14886029.04,29959.61,-217506.36
SIEMENS,15,10,2904,2904,0,2594372.52,2621694.36,5216.06,22102.78
SOLARINDS,45,52,4940,4940,0,4266649.06,4270226.69,8536.90,-4959.29
SONACOMS,62,71,18993,18993,0,11088871.20,11105298.20,22194.19,-5767.21
SRF,20,19,13790,13790,0,5007725.68,5283520.30,10291.26,265503.40
SUNPHARMA,47,59,4711,4711,0,3133136.20,3108829.30,6241.99,-30548.90
SUPREMEIND,14,38,3405,3405,0,2748017.45,2892810.90,5640.85,139152.64
SUZLON,72,74,3790922,3790922,0,10861348.11,10710284.91,21569.88,-165188.51
SWIGGY,2,3,4595,4595,0,1431848.00,1481571.20,2913.43,46809.83
TATACOMM,49,46,30057,30057,0,9740984.85,9773260.47,19514.21,12796.92
TATACONSUM,48,62,54349,54349,0,7204579.30,7459605.95,14664.14,240362.43
TATAELXSI,11,13,52,52,0,377867.50,382624.25,760.49,3996.26
TATAPOWER,51,54,242384,242384,0,11462331.85,11547150.20,23009.50,61808.98
TATASTEEL,49,42,282120,282120,0,8570205.87,8488182.66,17058.89,-99458.98
TATATECH,70,55,58033,36446,21587,40534192.50,25660172.45,66194.37,-10592.02
TCS,117,119,10615,10615,0,20893434.35,21292398.42,42185.82,356781.81
TECHM,9,14,5058,5058,0,3723305.80,3752205.15,7475.50,21423.87
TIINDIA,27,28,19254,19254,0,8062729.70,8095627.05,16158.36,16738.95
TITAN,7,12,2933,2933,0,990568.75,1092303.45,2082.87,99651.85
TORNTPHARM,45,47,9505,9505,0,7043245.18,7000506.19,14043.72,-56774.29
TORNTPOWER,21,16,11421,11421,0,2867143.70,2831228.60,5698.34,-41613.49
TRENT,27,28,25028,25028,0,6419325.35,6470598.60,12889.93,38383.39
TVSMOTOR,2,2,2653,2653,0,873663.00,872849.00,1746.52,-2560.50
ULTRACEMCO,134,161,4536,4536,0,20284790.00,20384414.30,40669.20,58955.26
UNIONBANK,8,11,22009,22009,0,3711281.70,3755616.90,7466.92,36868.38
UPL,42,43,15933,15933,0,8265959.17,8248613.86,16514.59,-33853.34
VBL,11,6,3144,3144,0,1474161.15,1422777.40,2896.92,-54280.68
VEDL,52,44,57663,57663,0,9003846.95,8954529.35,17958.39,-67275.78
VOLTAS,3,2,2154,2154,0,863778.05,834156.50,1697.94,-31319.49
WIPRO,3,2,6569,6569,0,779715.96,782612.31,1562.28,1342.69
YESBANK,232,215,6588433,6588433,0,90912123.07,91572841.81,182485.08,478233.57
ZYDUSLIFE,1,2,1289,1289,0,371296.45,356076.00,727.38,-15947.81
