ticker,selected_days,first_selected,last_selected
ADANIGREEN,1112,2020-09-28T00:00:00.000000000,2025-05-05T00:00:00.000000000
HINDUNILVR,988,2019-10-07T00:00:00.000000000,2025-10-31T00:00:00.000000000
MAXHEALTH,942,2021-10-04T00:00:00.000000000,2025-10-30T00:00:00.000000000
SAIL,889,2015-07-14T00:00:00.000000000,2025-10-07T00:00:00.000000000
ICICIGI,803,2020-01-21T00:00:00.000000000,2024-04-26T00:00:00.000000000
SBICARD,782,2021-12-29T00:00:00.000000000,2025-10-31T00:00:00.000000000
NATIONALUM,756,2015-07-30T00:00:00.000000000,2023-09-14T00:00:00.000000000
NMDC,737,2015-09-18T00:00:00.000000000,2025-03-19T00:00:00.000000000
PAGEIND,664,2016-03-03T00:00:00.000000000,2025-09-18T00:00:00.000000000
AMBUJACEM,530,2016-05-10T00:00:00.000000000,2025-05-15T00:00:00.000000000
PAYTM,474,2022-05-24T00:00:00.000000000,2025-02-11T00:00:00.000000000
YESBANK,453,2015-09-07T00:00:00.000000000,2025-03-06T00:00:00.000000000
AUBANK,393,2019-04-24T00:00:00.000000000,2022-01-17T00:00:00.000000000
PRESTIGE,358,2015-12-15T00:00:00.000000000,2025-10-30T00:00:00.000000000
HINDZINC,349,2015-07-14T00:00:00.000000000,2024-08-12T00:00:00.000000000
EXIDEIND,345,2015-08-26T00:00:00.000000000,2022-03-29T00:00:00.000000000
LT,340,2019-10-31T00:00:00.000000000,2024-04-26T00:00:00.000000000
GRASIM,337,2016-02-04T00:00:00.000000000,2024-12-31T00:00:00.000000000
ULTRACEMCO,313,2016-05-16T00:00:00.000000000,2025-08-26T00:00:00.000000000
BAJAJHLDNG,309,2016-09-06T00:00:00.000000000,2025-10-31T00:00:00.000000000
ABB,289,2015-12-15T00:00:00.000000000,2024-02-01T00:00:00.000000000
PHOENIXLTD,279,2015-07-06T00:00:00.000000000,2025-08-13T00:00:00.000000000
GMRAIRPORT,268,2015-07-06T00:00:00.000000000,2024-11-19T00:00:00.000000000
PIIND,268,2016-02-26T00:00:00.000000000,2022-09-09T00:00:00.000000000
ADANIPORTS,259,2022-02-04T00:00:00.000000000,2025-05-27T00:00:00.000000000
NAUKRI,256,2015-12-28T00:00:00.000000000,2022-07-28T00:00:00.000000000
PIDILITIND,238,2015-09-11T00:00:00.000000000,2025-05-09T00:00:00.000000000
MFSL,235,2016-09-29T00:00:00.000000000,2022-01-05T00:00:00.000000000
JSWENERGY,235,2017-10-25T00:00:00.000000000,2019-04-25T00:00:00.000000000
SHRIRAMFIN,233,2016-05-10T00:00:00.000000000,2025-10-30T00:00:00.000000000
TCS,223,2015-07-06T00:00:00.000000000,2025-09-08T00:00:00.000000000
