step,actor_loss,critic_loss,actor_grad_norm,weight_mean,weight_std
32,0.003383,0.245942,0.0,0.0323,0.0001
33,0.002514,0.238628,0.0,0.0323,0.0001
34,0.001671,0.223374,0.0,0.0323,0.0001
35,0.000893,0.222545,0.0,0.0323,0.0001
36,0.000174,0.223190,0.0,0.0323,0.0001
37,-0.000477,0.188742,0.0,0.0323,0.0001
38,-0.001098,0.241481,0.0,0.0323,0.0001
39,-0.001725,0.214372,0.0,0.0323,0.0001
40,-0.002366,0.266200,0.0,0.0323,0.0001
41,-0.003078,0.223829,0.0,0.0323,0.0001
42,-0.003685,0.275818,0.0,0.0323,0.0001
43,-0.004328,0.203092,0.0,0.0323,0.0001
44,-0.004942,0.189716,0.0,0.0323,0.0001
45,-0.005652,0.241519,0.0,0.0323,0.0001
46,-0.006309,0.231941,0.0,0.0323,0.0001
47,-0.007045,0.265463,0.0,0.0323,0.0001
48,-0.007864,0.226415,0.0,0.0323,0.0001
49,-0.008786,0.197370,0.0,0.0323,0.0001
50,-0.009850,0.252109,0.0,0.0323,0.0001
51,-0.010916,0.216133,0.0,0.0323,0.0001
52,-0.012263,0.224998,0.0,0.0323,0.0001
53,-0.013490,0.241528,0.0,0.0323,0.0001
54,-0.014788,0.222784,0.0,0.0323,0.0001
55,-0.016311,0.190273,0.0,0.0323,0.0001
56,-0.017987,0.198078,0.0,0.0323,0.0001
57,-0.019714,0.252663,0.0,0.0323,0.0001
58,-0.021562,0.205866,0.0,0.0323,0.0001
59,-0.023224,0.209427,0.0,0.0323,0.0001
60,-0.025026,0.231740,0.0,0.0323,0.0001
61,-0.027115,0.197309,0.0,0.0323,0.0001
62,-0.029563,0.208686,0.0,0.0323,0.0001
63,-0.031972,0.188283,0.0,0.0323,0.0001
64,-0.034675,0.204181,0.0,0.0323,0.0001
65,-0.037774,0.246674,0.0,0.0323,0.0001
66,-0.040770,0.182686,0.0,0.0323,0.0001
67,-0.043842,0.179368,0.0,0.0323,0.0001
68,-0.047029,0.149421,0.0,0.0323,0.0001
69,-0.050863,0.173971,0.0,0.0323,0.0001
70,-0.054963,0.239652,0.0,0.0323,0.0001
71,-0.059731,0.167920,0.0,0.0323,0.0001
72,-0.065237,0.173213,0.0,0.0323,0.0001
73,-0.070660,0.126468,0.0,0.0323,0.0001
74,-0.076648,0.141323,0.0,0.0323,0.0001
75,-0.084018,0.138258,0.0,0.0323,0.0001
76,-0.091246,0.227003,0.0,0.0323,0.0001
77,-0.096685,0.181644,0.0,0.0323,0.0001
78,-0.102348,0.116097,0.0,0.0323,0.0001
79,-0.108248,0.188936,0.0,0.0323,0.0001
80,-0.113940,0.158861,0.0,0.0323,0.0001
81,-0.118541,0.177239,0.0,0.0323,0.0001
82,-0.124323,0.173654,0.0,0.0323,0.0001
83,-0.129298,0.149352,0.0,0.0323,0.0001
84,-0.132236,0.144194,0.0,0.0323,0.0001
85,-0.134374,0.140772,0.0,0.0323,0.0001
86,-0.136143,0.179898,0.0,0.0323,0.0001
87,-0.139313,0.199308,0.0,0.0323,0.0001
88,-0.142042,0.176716,0.0,0.0323,0.0001
89,-0.143813,0.172604,0.0,0.0323,0.0001
90,-0.145348,0.155090,0.0,0.0323,0.0001
91,-0.145829,0.140414,0.0,0.0323,0.0001
92,-0.144522,0.122860,0.0,0.0323,0.0001
93,-0.142611,0.149968,0.0,0.0323,0.0001
94,-0.140242,0.126468,0.0,0.0323,0.0001
95,-0.140034,0.194192,0.0,0.0323,0.0001
96,-0.136189,0.082124,0.0,0.0323,0.0001
97,-0.130918,0.143230,0.0,0.0323,0.0001
98,-0.125669,0.126072,0.0,0.0323,0.0001
99,-0.120693,0.168830,0.0,0.0323,0.0001
100,-0.115607,0.144459,0.0,0.0323,0.0001
101,-0.109860,0.135655,0.0,0.0323,0.0001
102,-0.105263,0.136147,0.0,0.0323,0.0001
103,-0.102890,0.161489,0.0,0.0323,0.0001
104,-0.102938,0.202146,0.0,0.0323,0.0001
105,-0.101076,0.156519,0.0,0.0323,0.0001
106,-0.102105,0.194976,0.0,0.0323,0.0001
107,-0.103979,0.160432,0.0,0.0323,0.0001
108,-0.105478,0.159972,0.0,0.0323,0.0001
109,-0.109905,0.177912,0.0,0.0323,0.0001
110,-0.113132,0.149511,0.0,0.0323,0.0001
111,-0.116522,0.222965,0.0,0.0323,0.0001
112,-0.122255,0.144977,0.0,0.0323,0.0001
113,-0.128951,0.216326,0.0,0.0323,0.0001
114,-0.135901,0.128915,0.0,0.0323,0.0001
115,-0.140627,0.148020,0.0,0.0323,0.0001
116,-0.145179,0.165224,0.0,0.0323,0.0001
117,-0.151297,0.204054,0.0,0.0323,0.0001
118,-0.157248,0.185890,0.0,0.0323,0.0001
119,-0.164387,0.156544,0.0,0.0323,0.0001
120,-0.168493,0.177013,0.0,0.0323,0.0001
121,-0.175735,0.177943,0.0,0.0323,0.0001
122,-0.184623,0.198458,0.0,0.0323,0.0001
123,-0.194380,0.178654,0.0,0.0323,0.0001
124,-0.201033,0.166132,0.0,0.0323,0.0001
125,-0.209948,0.191140,0.0,0.0323,0.0001
126,-0.217436,0.169530,0.0,0.0323,0.0001
127,-0.220744,0.161041,0.0,0.0323,0.0001
128,-0.224181,0.183331,0.0,0.0323,0.0001
129,-0.220971,0.220510,0.0,0.0323,0.0001
130,-0.217172,0.180495,0.0,0.0323,0.0001
131,-0.209753,0.194385,0.0,0.0323,0.0001
132,-0.200362,0.194026,0.0,0.0323,0.0001
133,-0.188171,0.099736,0.0,0.0323,0.0001
134,-0.178045,0.206644,0.0,0.0323,0.0001
135,-0.166675,0.113896,0.0,0.0323,0.0001
136,-0.156562,0.160297,0.0,0.0323,0.0001
137,-0.148148,0.201247,0.0,0.0323,0.0001
138,-0.140517,0.192125,0.0,0.0323,0.0001
139,-0.130767,0.195758,0.0,0.0323,0.0001
140,-0.122097,0.151381,0.0,0.0323,0.0001
141,-0.114598,0.168871,0.0,0.0323,0.0001
142,-0.106226,0.189920,0.0,0.0323,0.0001
143,-0.099851,0.185908,0.0,0.0323,0.0001
144,-0.092836,0.152184,0.0,0.0323,0.0001
145,-0.085791,0.163461,0.0,0.0323,0.0001
146,-0.080529,0.149005,0.0,0.0323,0.0001
147,-0.075472,0.192235,0.0,0.0323,0.0001
148,-0.073587,0.173483,0.0,0.0323,0.0001
149,-0.071974,0.182829,0.0,0.0323,0.0001
150,-0.069540,0.144556,0.0,0.0323,0.0001
151,-0.066788,0.161916,0.0,0.0323,0.0001
152,-0.064026,0.204312,0.0,0.0323,0.0001
153,-0.062702,0.172853,0.0,0.0323,0.0001
154,-0.063801,0.138664,0.0,0.0323,0.0001
155,-0.066457,0.167000,0.0,0.0323,0.0001
156,-0.068169,0.140279,0.0,0.0323,0.0001
157,-0.070015,0.151661,0.0,0.0323,0.0001
158,-0.071004,0.124391,0.0,0.0323,0.0001
159,-0.071529,0.151301,0.0,0.0323,0.0001
160,-0.071210,0.182284,0.0,0.0323,0.0001
161,-0.071114,0.142419,0.0,0.0323,0.0002
162,-0.071585,0.177105,0.0,0.0323,0.0001
163,-0.069251,0.123407,0.0,0.0323,0.0001
164,-0.067958,0.166671,0.0,0.0323,0.0002
165,-0.066904,0.148237,0.0,0.0323,0.0001
166,-0.067849,0.142719,0.0,0.0323,0.0001
167,-0.069090,0.146410,0.0,0.0323,0.0001
168,-0.073043,0.169327,0.0,0.0323,0.0001
169,-0.077303,0.157081,0.0,0.0323,0.0002
170,-0.079757,0.159134,0.0,0.0323,0.0002
171,-0.081407,0.139820,0.0,0.0323,0.0002
172,-0.080598,0.133188,0.0,0.0323,0.0002
173,-0.081875,0.182518,0.0,0.0323,0.0002
174,-0.081970,0.100960,0.0,0.0323,0.0002
175,-0.081391,0.140322,0.0,0.0323,0.0002
176,-0.080948,0.114461,0.0,0.0323,0.0002
177,-0.082112,0.161444,0.0,0.0323,0.0002
178,-0.080425,0.108130,0.0,0.0323,0.0002
179,-0.079785,0.165098,0.0,0.0323,0.0002
180,-0.076888,0.153949,0.0,0.0323,0.0002
181,-0.074844,0.114692,0.0,0.0323,0.0002
182,-0.072721,0.113175,0.0,0.0323,0.0002
183,-0.070654,0.123376,0.0,0.0323,0.0002
184,-0.072250,0.231520,0.0,0.0323,0.0002
185,-0.073065,0.158432,0.0,0.0323,0.0002
186,-0.076441,0.153817,0.0,0.0323,0.0002
187,-0.080486,0.180268,0.0,0.0323,0.0002
188,-0.085626,0.148070,0.0,0.0323,0.0002
189,-0.089769,0.120688,0.0,0.0323,0.0002
190,-0.093475,0.164271,0.0,0.0323,0.0002
191,-0.096050,0.158435,0.0,0.0323,0.0002
192,-0.098219,0.082932,0.0,0.0323,0.0002
193,-0.101099,0.174025,0.0,0.0323,0.0002
194,-0.105994,0.146181,0.0,0.0323,0.0002
195,-0.106871,0.131962,0.0,0.0323,0.0002
196,-0.107693,0.169553,0.0,0.0323,0.0002
197,-0.110257,0.188585,0.0,0.0323,0.0002
198,-0.110961,0.138398,0.0,0.0323,0.0002
199,-0.113346,0.172544,0.0,0.0323,0.0002
