ticker,selected_days,first_selected,last_selected
HINDUNILVR,1393,2015-07-07T00:00:00.000000000,2026-04-30T00:00:00.000000000
DRREDDY,1285,2015-07-09T00:00:00.000000000,2026-04-30T00:00:00.000000000
CIPLA,1112,2015-07-10T00:00:00.000000000,2026-04-30T00:00:00.000000000
ZYDUSLIFE,881,2015-07-10T00:00:00.000000000,2026-04-23T00:00:00.000000000
BRITANNIA,847,2015-07-06T00:00:00.000000000,2025-11-13T00:00:00.000000000
ITC,789,2015-08-07T00:00:00.000000000,2026-04-30T00:00:00.000000000
TCS,695,2015-07-08T00:00:00.000000000,2026-04-30T00:00:00.000000000
NESTLEIND,658,2015-07-06T00:00:00.000000000,2026-04-29T00:00:00.000000000
GODREJCP,604,2015-07-16T00:00:00.000000000,2026-02-03T00:00:00.000000000
ICICIGI,599,2018-04-13T00:00:00.000000000,2024-04-19T00:00:00.000000000
SUNPHARMA,576,2015-07-06T00:00:00.000000000,2026-04-30T00:00:00.000000000
IOC,565,2015-07-08T00:00:00.000000000,2023-11-20T00:00:00.000000000
LT,562,2015-07-14T00:00:00.000000000,2026-04-30T00:00:00.000000000
BPCL,540,2015-07-07T00:00:00.000000000,2023-12-26T00:00:00.000000000
TATACONSUM,534,2015-07-14T00:00:00.000000000,2026-04-29T00:00:00.000000000
ONGC,495,2015-07-13T00:00:00.000000000,2023-01-19T00:00:00.000000000
MARUTI,487,2015-07-15T00:00:00.000000000,2026-04-30T00:00:00.000000000
MAXHEALTH,485,2021-02-24T00:00:00.000000000,2025-12-05T00:00:00.000000000
BAJAJ-AUTO,475,2015-07-20T00:00:00.000000000,2023-10-09T00:00:00.000000000
GAIL,448,2015-07-16T00:00:00.000000000,2023-12-01T00:00:00.000000000
BHARTIARTL,417,2015-07-09T00:00:00.000000000,2026-04-30T00:00:00.000000000
HCLTECH,386,2015-07-10T00:00:00.000000000,2026-04-30T00:00:00.000000000
NTPC,342,2015-07-07T00:00:00.000000000,2022-04-01T00:00:00.000000000
COALINDIA,310,2015-07-10T00:00:00.000000000,2022-03-03T00:00:00.000000000
ASIANPAINT,241,2015-07-15T00:00:00.000000000,2026-03-10T00:00:00.000000000
DMART,236,2017-09-27T00:00:00.000000000,2026-01-09T00:00:00.000000000
WIPRO,223,2015-07-09T00:00:00.000000000,2024-06-06T00:00:00.000000000
BOSCHLTD,211,2015-07-17T00:00:00.000000000,2023-01-09T00:00:00.000000000
ICICIBANK,204,2015-07-15T00:00:00.000000000,2021-06-25T00:00:00.000000000
DIVISLAB,202,2015-07-07T00:00:00.000000000,2024-01-01T00:00:00.000000000
HINDALCO,202,2015-07-22T00:00:00.000000000,2021-06-30T00:00:00.000000000
POWERGRID,200,2015-07-06T00:00:00.000000000,2021-08-23T00:00:00.000000000
SOLARINDS,199,2015-07-09T00:00:00.000000000,2022-07-11T00:00:00.000000000
ADANIENT,197,2015-07-17T00:00:00.000000000,2021-06-30T00:00:00.000000000
CANBK,197,2015-07-22T00:00:00.000000000,2021-05-31T00:00:00.000000000
TATAPOWER,196,2015-07-08T00:00:00.000000000,2021-06-29T00:00:00.000000000
PNB,196,2015-07-08T00:00:00.000000000,2021-06-22T00:00:00.000000000
SBILIFE,195,2018-04-09T00:00:00.000000000,2024-04-19T00:00:00.000000000
SBIN,194,2015-07-09T00:00:00.000000000,2021-06-29T00:00:00.000000000
DLF,191,2015-07-08T00:00:00.000000000,2021-06-18T00:00:00.000000000
BEL,191,2015-07-15T00:00:00.000000000,2021-09-08T00:00:00.000000000
AMBUJACEM,190,2015-07-06T00:00:00.000000000,2021-05-24T00:00:00.000000000
PIDILITIND,189,2015-07-06T00:00:00.000000000,2024-09-13T00:00:00.000000000
RECLTD,188,2015-07-08T00:00:00.000000000,2021-06-30T00:00:00.000000000
RELIANCE,188,2015-07-09T00:00:00.000000000,2021-06-18T00:00:00.000000000
HINDZINC,188,2015-07-13T00:00:00.000000000,2021-06-28T00:00:00.000000000
SIEMENS,187,2015-07-07T00:00:00.000000000,2021-06-30T00:00:00.000000000
ULTRACEMCO,185,2015-07-13T00:00:00.000000000,2021-06-11T00:00:00.000000000
PFC,184,2015-07-16T00:00:00.000000000,2021-06-16T00:00:00.000000000
M&M,181,2015-08-07T00:00:00.000000000,2021-05-20T00:00:00.000000000
APOLLOHOSP,180,2015-07-07T00:00:00.000000000,2021-06-28T00:00:00.000000000
BAJAJHLDNG,180,2015-07-08T00:00:00.000000000,2021-06-16T00:00:00.000000000
EICHERMOT,180,2015-07-14T00:00:00.000000000,2021-06-10T00:00:00.000000000
INDHOTEL,179,2015-07-06T00:00:00.000000000,2021-06-08T00:00:00.000000000
JINDALSTEL,179,2015-07-17T00:00:00.000000000,2021-06-15T00:00:00.000000000
ADANIPOWER,178,2015-07-13T00:00:00.000000000,2021-06-16T00:00:00.000000000
TRENT,177,2015-07-06T00:00:00.000000000,2021-05-20T00:00:00.000000000
GRASIM,177,2015-07-21T00:00:00.000000000,2021-06-25T00:00:00.000000000
HDFCBANK,177,2015-09-14T00:00:00.000000000,2021-06-29T00:00:00.000000000
CGPOWER,176,2015-07-08T00:00:00.000000000,2023-08-16T00:00:00.000000000
