date,step,ticker,action,shares,buy_shares,sell_shares,price,value,commission,avg_cost_before,avg_cost_after,realized_pnl,position_after
2015-07-06T00:00:00.000000000,0,AMBUJACEM,BUY,4791,4791,0,203.81,976454.72,0.00,0.0000,203.8102,0.00,4791
2015-07-06T00:00:00.000000000,0,BRITANNIA,BUY,816,816,0,1182.03,964537.20,0.00,0.0000,1182.0309,0.00,816
2015-07-06T00:00:00.000000000,0,INDHOTEL,BUY,11491,11491,0,80.65,926738.12,0.00,0.0000,80.6490,0.00,11491
2015-07-06T00:00:00.000000000,0,JSWENERGY,BUY,10877,10877,0,84.17,915497.90,0.00,0.0000,84.1682,0.00,10877
2015-07-06T00:00:00.000000000,0,MOTHERSON,BUY,26986,26986,0,35.46,956887.92,0.00,0.0000,35.4587,0.00,26986
2015-07-06T00:00:00.000000000,0,NESTLEIND,BUY,3378,3378,0,272.58,920767.26,0.00,0.0000,272.5776,0.00,3378
2015-07-06T00:00:00.000000000,0,PIDILITIND,BUY,3812,3812,0,255.63,974458.90,0.00,0.0000,255.6293,0.00,3812
2015-07-06T00:00:00.000000000,0,POWERGRID,BUY,19870,19870,0,49.15,976583.02,0.00,0.0000,49.1486,0.00,19870
2015-07-06T00:00:00.000000000,0,SUNPHARMA,BUY,1224,1224,0,789.43,966265.37,0.00,0.0000,789.4325,0.00,1224
2015-07-06T00:00:00.000000000,0,TRENT,BUY,8259,8259,0,111.42,920187.46,0.00,0.0000,111.4163,0.00,8259
2015-07-07T00:00:00.000000000,1,AMBUJACEM,SELL,-4791,0,4791,211.03,-1011048.67,0.00,203.8102,0.0000,34593.95,0
2015-07-07T00:00:00.000000000,1,BRITANNIA,SELL,-816,0,816,1213.74,-990414.12,0.00,1182.0309,0.0000,25876.92,0
2015-07-07T00:00:00.000000000,1,INDHOTEL,SELL,-11491,0,11491,81.84,-940381.49,0.00,80.6490,0.0000,13643.37,0
2015-07-07T00:00:00.000000000,1,JSWENERGY,SELL,-10877,0,10877,87.32,-949744.45,0.00,84.1682,0.0000,34246.55,0
2015-07-07T00:00:00.000000000,1,MOTHERSON,SELL,-26986,0,26986,36.89,-995628.00,0.00,35.4587,0.0000,38740.08,0
2015-07-07T00:00:00.000000000,1,NESTLEIND,SELL,-3378,0,3378,272.14,-919289.28,0.00,272.5776,0.0000,-1477.98,0
2015-07-07T00:00:00.000000000,1,PIDILITIND,SELL,-3812,0,3812,257.47,-981482.51,0.00,255.6293,0.0000,7023.61,0
2015-07-07T00:00:00.000000000,1,POWERGRID,SELL,-19870,0,19870,49.32,-980058.05,0.00,49.1486,0.0000,3475.04,0
