date,step,ticker,action,shares,price,value,commission
2015-09-10T00:00:00.000000000,0,NSE_ASIANPAINT,BUY,122,817.00,99674.00,99.67
2015-09-10T00:00:00.000000000,0,NSE_BAJAJ_AUTO,BUY,44,2240.00,98560.00,98.56
2015-09-10T00:00:00.000000000,0,NSE_BEL,BUY,2995,33.38,99984.30,99.98
2015-09-10T00:00:00.000000000,0,NSE_BHARTIARTL,BUY,314,317.64,99737.39,99.74
2015-09-10T00:00:00.000000000,0,NSE_CIPLA,BUY,154,649.00,99946.00,99.95
2015-09-10T00:00:00.000000000,0,NSE_HINDUNILVR,BUY,124,801.00,99324.00,99.32
2015-09-10T00:00:00.000000000,0,NSE_INFY,BUY,184,542.45,99810.80,99.81
2015-09-10T00:00:00.000000000,0,NSE_ONGC,BUY,656,152.33,99930.56,99.93
2015-09-10T00:00:00.000000000,0,NSE_TRENT,BUY,846,118.18,99980.28,99.98
2015-09-10T00:00:00.000000000,0,NSE_ULTRACEMCO,BUY,34,2931.00,99654.00,99.65
2015-09-11T00:00:00.000000000,1,NSE_BAJAJ_AUTO,SELL,-1,2327.00,-2327.00,2.33
2015-09-11T00:00:00.000000000,1,NSE_BEL,SELL,-136,35.00,-4759.99,4.76
2015-09-11T00:00:00.000000000,1,NSE_CIPLA,SELL,-3,660.00,-1980.00,1.98
2015-09-11T00:00:00.000000000,1,NSE_HINDUNILVR,BUY,2,792.00,1584.00,1.58
2015-09-11T00:00:00.000000000,1,NSE_ULTRACEMCO,SELL,-1,2993.85,-2993.85,2.99
2015-09-14T00:00:00.000000000,2,NSE_ASIANPAINT,BUY,1035,822.00,850770.00,850.77
2015-09-14T00:00:00.000000000,2,NSE_BAJAJ_AUTO,BUY,362,2345.00,848890.00,848.89
2015-09-14T00:00:00.000000000,2,NSE_BEL,BUY,24438,34.85,851625.57,851.63
2015-09-14T00:00:00.000000000,2,NSE_BHARTIARTL,BUY,2704,315.29,852549.96,852.55
2015-09-14T00:00:00.000000000,2,NSE_CIPLA,BUY,1301,654.75,851829.75,851.83
2015-09-14T00:00:00.000000000,2,NSE_HINDUNILVR,BUY,1061,800.90,849754.93,849.75
2015-09-14T00:00:00.000000000,2,NSE_INFY,BUY,1548,549.50,850626.00,850.63
2015-09-14T00:00:00.000000000,2,NSE_ONGC,BUY,5551,153.27,850782.40,850.78
2015-09-14T00:00:00.000000000,2,NSE_TRENT,BUY,6954,121.96,848075.08,848.08
2015-09-14T00:00:00.000000000,2,NSE_ULTRACEMCO,BUY,289,2948.00,851972.00,851.97
2015-09-15T00:00:00.000000000,3,NSE_ASIANPAINT,SELL,-30,840.10,-25203.00,25.20
2015-09-15T00:00:00.000000000,3,NSE_BAJAJ_AUTO,BUY,4,2315.00,9260.00,9.26
2015-09-15T00:00:00.000000000,3,NSE_BEL,BUY,1238,33.18,41079.01,41.08
2015-09-15T00:00:00.000000000,3,NSE_BHARTIARTL,SELL,-49,318.99,-15630.35,15.63
2015-09-15T00:00:00.000000000,3,NSE_CIPLA,SELL,-31,665.95,-20644.45,20.64
2015-09-15T00:00:00.000000000,3,NSE_HINDUNILVR,BUY,4,794.75,3179.00,3.18
2015-09-15T00:00:00.000000000,3,NSE_INFY,SELL,-9,549.70,-4947.30,4.95
2015-09-15T00:00:00.000000000,3,NSE_ONGC,SELL,-28,153.27,-4291.46,4.29
2015-09-15T00:00:00.000000000,3,NSE_TRENT,BUY,184,118.61,21823.32,21.82
2015-09-15T00:00:00.000000000,3,NSE_ULTRACEMCO,SELL,-3,2964.00,-8892.00,8.89
2015-09-16T00:00:00.000000000,4,NSE_ASIANPAINT,BUY,2,840.00,1680.00,1.68
2015-09-16T00:00:00.000000000,4,NSE_BAJAJ_AUTO,SELL,-409,2305.10,-942785.94,942.79
2015-09-16T00:00:00.000000000,4,NSE_BEL,SELL,-46,33.30,-1531.73,1.53
2015-09-16T00:00:00.000000000,4,NSE_BHARTIARTL,BUY,27,316.73,8551.82,8.55
