date,step,nav,cash,cash_pct,daily_return,reward,vol_30d,mdd_30d
2015-09-11T00:00:00.000000000,1,999.9003,9002402.06,0.9003,-0.000100,-0.000598,0.000000,0.000000
2015-09-14T00:00:00.000000000,2,1001.0380,9012865.25,0.9004,0.001138,0.000000,0.000000,0.000000
2015-09-15T00:00:00.000000000,3,1000.6000,497482.69,0.0497,-0.000438,-0.000000,0.000000,0.000000
2015-09-16T00:00:00.000000000,4,996.8623,501594.96,0.0503,-0.003736,-0.000000,0.000000,0.000000
2015-09-18T00:00:00.000000000,5,998.2665,1445432.49,0.1448,0.001409,-0.061675,0.001835,0.004171
2015-09-21T00:00:00.000000000,6,1001.1419,505071.79,0.0504,0.002880,-0.050392,0.002062,0.004171
2015-09-22T00:00:00.000000000,7,999.9893,2502278.22,0.2502,-0.001151,-0.049672,0.001966,0.004171
2015-09-23T00:00:00.000000000,8,1006.0490,2519682.96,0.2505,0.006060,-0.055326,0.002720,0.004171
2015-09-24T00:00:00.000000000,9,980.9514,2455066.95,0.2503,-0.024947,-0.288085,0.008475,0.024947
2015-09-28T00:00:00.000000000,10,981.8570,2459261.85,0.2505,0.000923,-0.319826,0.008091,0.024947
2015-09-29T00:00:00.000000000,11,983.1063,493775.53,0.0502,0.001272,-0.311859,0.007765,0.024947
2015-09-30T00:00:00.000000000,12,963.1054,486018.39,0.0505,-0.020345,-0.586436,0.009075,0.042685
2015-10-01T00:00:00.000000000,13,985.0288,1428328.10,0.1450,0.022763,-0.205934,0.011111,0.042685
2015-10-05T00:00:00.000000000,14,995.9503,499298.94,0.0501,0.011088,-0.120472,0.011158,0.042685
2015-10-06T00:00:00.000000000,15,993.7441,7453444.77,0.7500,-0.002215,-0.119555,0.010791,0.042685
2015-10-07T00:00:00.000000000,16,999.8825,7501814.11,0.7503,0.006177,-0.118996,0.010567,0.042685
2015-10-08T00:00:00.000000000,17,1000.8821,7509002.96,0.7502,0.001000,-0.118214,0.010254,0.042685
2015-10-09T00:00:00.000000000,18,1003.2103,7525959.30,0.7502,0.002326,-0.117524,0.009978,0.042685
2015-10-12T00:00:00.000000000,19,1002.9619,7522267.97,0.7500,-0.000248,-0.102278,0.009713,0.042685
2015-10-13T00:00:00.000000000,20,1002.9809,5014839.45,0.5000,0.000019,-0.093057,0.009467,0.042685
2015-10-14T00:00:00.000000000,21,996.8034,4985005.16,0.5001,-0.006159,-0.277748,0.009337,0.042685
2015-10-15T00:00:00.000000000,22,993.0174,4966240.91,0.5001,-0.003798,-0.206007,0.009155,0.042685
2015-10-16T00:00:00.000000000,23,994.1991,4971417.44,0.5000,0.001190,-0.055381,0.008958,0.042685
2015-10-19T00:00:00.000000000,24,997.2530,4988923.45,0.5003,0.003072,0.001891,0.008794,0.042685
2015-10-20T00:00:00.000000000,25,1001.3350,5008452.99,0.5002,0.004093,0.033230,0.008655,0.042685
2015-10-21T00:00:00.000000000,26,999.8112,5001679.01,0.5003,-0.001522,-0.134406,0.008493,0.042685
2015-10-23T00:00:00.000000000,27,1006.2376,5033460.13,0.5002,0.006428,0.104434,0.008421,0.042685
2015-10-26T00:00:00.000000000,28,1009.7243,5051051.39,0.5002,0.003465,0.086626,0.008291,0.042685
2015-10-27T00:00:00.000000000,29,1006.0824,7546890.54,0.7501,-0.003607,-0.090170,0.008179,0.042685
2015-10-28T00:00:00.000000000,30,1003.4753,7529167.03,0.7503,-0.002591,-0.064785,0.008058,0.042685
2015-10-29T00:00:00.000000000,31,1003.9463,7531122.51,0.7502,0.000469,0.011734,0.008058,0.042685
2015-10-30T00:00:00.000000000,32,1004.9446,7540627.41,0.7504,0.000994,0.024859,0.008057,0.042685
2015-11-02T00:00:00.000000000,33,1005.4932,7543179.46,0.7502,0.000546,0.040943,0.008057,0.042685
2015-11-03T00:00:00.000000000,34,1001.1676,2502059.20,0.2499,-0.004302,-0.322645,0.008067,0.042685
2015-11-04T00:00:00.000000000,35,1008.9509,2526786.99,0.2504,0.007774,0.583063,0.008179,0.042685
2015-11-05T00:00:00.000000000,36,1012.0028,2533676.44,0.2504,0.003025,0.226863,0.008181,0.042685
2015-11-06T00:00:00.000000000,37,1004.4182,2510771.18,0.2500,-0.007495,-0.562098,0.008299,0.042685
2015-11-09T00:00:00.000000000,38,992.6230,2483513.47,0.2502,-0.011743,-0.182934,0.008492,0.020345
2015-11-10T00:00:00.000000000,39,985.7210,4930139.23,0.5002,-0.006953,-0.169757,0.007288,0.025970
2015-11-11T00:00:00.000000000,40,993.8956,4972152.02,0.5003,0.008293,-0.170474,0.007431,0.025970
2015-11-13T00:00:00.000000000,41,986.9192,4939012.32,0.5004,-0.007019,-0.171059,0.007548,0.025970
2015-11-16T00:00:00.000000000,42,982.6307,4916954.84,0.5004,-0.004345,-0.043454,0.006584,0.029024
2015-11-17T00:00:00.000000000,43,976.3752,8790258.70,0.9003,-0.006366,-0.063661,0.005275,0.035205
2015-11-18T00:00:00.000000000,44,977.4781,8800289.71,0.9003,0.001130,0.011296,0.004846,0.035205
2015-11-19T00:00:00.000000000,45,976.8185,8796898.38,0.9006,-0.000675,-0.006748,0.004836,0.035205
2015-11-20T00:00:00.000000000,46,976.6109,8793158.17,0.9004,-0.000213,-0.002125,0.004673,0.035205
2015-11-23T00:00:00.000000000,47,977.1140,8794900.38,0.9001,0.000515,-0.014346,0.004668,0.035205
