date,step,phase,nav,cash,cash_pct,daily_return,reward,vol_30d,cvar_30d,mdd_30d,term_ret,term_vol,term_cvar,term_mdd,reward_raw,exposure
2015-07-07T00:00:00.000000000,1,train,999.0502,492469.17,0.0493,-0.000950,-0.090231,0.000000,0.000000,0.000000,-0.094980,0.000000,0.000000,0.000000,-0.094980,0.950000
2015-07-08T00:00:00.000000000,2,train,1025.2436,514659.72,0.0502,0.026218,2.490738,0.000000,0.000000,0.000000,2.621830,0.000000,0.000000,0.000000,2.621830,0.950000
2015-07-09T00:00:00.000000000,3,train,1008.9392,506652.15,0.0502,-0.015903,-1.510781,0.000000,0.000000,0.000000,-1.590295,0.000000,0.000000,0.000000,-1.590295,0.950000
2015-07-10T00:00:00.000000000,4,train,999.3501,1442406.05,0.1443,-0.009504,-0.902895,0.000000,0.000000,0.000000,-0.950416,0.000000,0.000000,0.000000,-0.950416,0.950000
2015-07-13T00:00:00.000000000,5,train,1005.8724,502885.44,0.0500,0.006527,0.620028,0.014601,0.015903,0.025256,0.652661,0.000000,0.000000,0.000000,0.652661,0.950000
2015-07-14T00:00:00.000000000,6,train,1012.9971,509496.45,0.0503,0.007083,0.672894,0.013503,0.015903,0.025256,0.708309,0.000000,0.000000,0.000000,0.708309,0.950000
2015-07-15T00:00:00.000000000,7,train,1017.0055,509806.03,0.0501,0.003957,0.375908,0.012516,0.015903,0.025256,0.395693,0.000000,0.000000,0.000000,0.395693,0.950000
2015-07-16T00:00:00.000000000,8,train,1017.2445,1471084.73,0.1446,0.000235,0.022325,0.011731,0.015903,0.025256,0.023500,0.000000,0.000000,0.000000,0.023500,0.950000
2015-07-17T00:00:00.000000000,9,train,1015.3585,507454.24,0.0500,-0.001854,-0.176134,0.011134,0.015903,0.025256,-0.185405,0.000000,0.000000,0.000000,-0.185405,0.950000
2015-07-20T00:00:00.000000000,10,train,1017.6083,509587.65,0.0501,0.002216,0.210500,0.010563,0.015903,0.025256,0.221579,0.000000,0.000000,0.000000,0.221579,0.950000
2015-07-21T00:00:00.000000000,11,train,1024.2914,512821.58,0.0501,0.006567,0.623909,0.010165,0.015903,0.025256,0.656747,0.000000,0.000000,0.000000,0.656747,0.950000
2015-07-22T00:00:00.000000000,12,train,1012.5662,1467497.22,0.1449,-0.011447,-1.087476,0.010441,0.015903,0.025256,-1.144712,0.000000,0.000000,0.000000,-1.144712,0.950000
2015-07-23T00:00:00.000000000,13,train,984.7084,494212.43,0.0502,-0.027512,-2.613651,0.012599,0.027512,0.039537,-2.751211,0.000000,0.000000,0.000000,-2.751211,0.950000
2015-07-24T00:00:00.000000000,14,train,999.7132,502768.20,0.0503,0.015238,1.447598,0.012850,0.027512,0.039537,1.523787,0.000000,0.000000,0.000000,1.523787,0.950000
2015-07-27T00:00:00.000000000,15,train,992.3597,498891.50,0.0503,-0.007356,-0.698783,0.012551,0.027512,0.039537,-0.735561,0.000000,0.000000,0.000000,-0.735561,0.950000
2015-07-28T00:00:00.000000000,16,train,979.3936,2346119.24,0.2395,-0.013066,-1.241265,0.012531,0.027512,0.044721,-1.306594,0.000000,0.000000,0.000000,-1.306594,0.950000
2015-07-29T00:00:00.000000000,17,train,959.9024,478657.36,0.0499,-0.019901,-1.890620,0.012927,0.027512,0.063732,-1.990126,0.000000,0.000000,0.000000,-1.990126,0.950000
2015-07-30T00:00:00.000000000,18,train,962.4756,481453.73,0.0500,0.002681,0.254660,0.012615,0.027512,0.063732,0.268063,0.000000,0.000000,0.000000,0.268063,0.950000
2015-07-31T00:00:00.000000000,19,train,953.6858,477040.06,0.0500,-0.009132,-0.867586,0.012380,0.027512,0.069796,-0.913248,0.000000,0.000000,0.000000,-0.913248,0.950000
2015-08-03T00:00:00.000000000,20,train,973.0288,481609.09,0.0495,0.020282,1.926822,0.013042,0.023707,0.069796,2.028234,0.000000,0.000000,0.000000,2.028234,0.950000
2015-08-04T00:00:00.000000000,21,train,963.0979,481707.04,0.0500,-0.010206,-0.969585,0.012868,0.023707,0.069796,-1.020616,0.000000,0.000000,0.000000,-1.020616,0.950000
2015-08-05T00:00:00.000000000,22,train,963.9349,482112.74,0.0500,0.000869,0.082561,0.012584,0.023707,0.069796,0.086907,0.000000,0.000000,0.000000,0.086907,0.950000
2015-08-06T00:00:00.000000000,23,train,987.4434,494128.56,0.0500,0.024388,2.316871,0.013399,0.023707,0.069796,2.438812,0.000000,0.000000,0.000000,2.438812,0.950000
2015-08-07T00:00:00.000000000,24,train,991.3638,1436822.96,0.1449,0.003970,0.377172,0.013147,0.023707,0.069796,0.397023,0.000000,0.000000,0.000000,0.397023,0.950000
2015-08-10T00:00:00.000000000,25,train,995.3406,497060.96,0.0499,0.004011,0.381089,0.012909,0.023707,0.069796,0.401146,0.000000,0.000000,0.000000,0.401146,0.950000
2015-08-11T00:00:00.000000000,26,train,997.3060,498899.36,0.0500,0.001975,0.187587,0.012664,0.023707,0.069796,0.197460,0.000000,0.000000,0.000000,0.197460,0.950000
2015-08-12T00:00:00.000000000,27,train,994.7865,498288.23,0.0501,-0.002526,-0.240006,0.012436,0.023707,0.069796,-0.252638,0.000000,0.000000,0.000000,-0.252638,0.950000
2015-08-13T00:00:00.000000000,28,train,967.3437,1400346.55,0.1448,-0.027587,-2.620722,0.013234,0.027549,0.069796,-2.758654,0.000000,0.000000,0.000000,-2.758654,0.950000
2015-08-14T00:00:00.000000000,29,train,951.1762,475045.36,0.0499,-0.016713,-1.587763,0.013312,0.027549,0.072244,-1.671330,0.000000,0.000000,0.000000,-1.671330,0.950000
2015-08-17T00:00:00.000000000,30,train,909.5502,454855.36,0.0500,-0.043763,-4.157449,0.015116,0.032954,0.112845,-4.376262,0.000000,0.000000,0.000000,-4.376262,0.950000
2015-08-18T00:00:00.000000000,31,train,939.2286,469798.32,0.0500,0.032630,3.099821,0.016150,0.032954,0.112845,3.262970,0.000000,0.000000,0.000000,3.262970,0.950000
2015-08-19T00:00:00.000000000,32,train,966.5578,1396362.35,0.1445,0.029097,2.764258,0.016785,0.032954,0.112845,2.909746,0.000000,0.000000,0.000000,2.909746,0.950000
2015-08-20T00:00:00.000000000,33,train,958.7052,478787.27,0.0499,-0.008124,-0.771805,0.016575,0.032954,0.112845,-0.812426,0.000000,0.000000,0.000000,-0.812426,0.950000
2015-08-21T00:00:00.000000000,34,train,955.6009,478512.19,0.0501,-0.003238,-0.307607,0.016334,0.032954,0.112845,-0.323796,0.000000,0.000000,0.000000,-0.323796,0.950000
2015-08-24T00:00:00.000000000,35,train,924.5400,462534.48,0.0500,-0.032504,-3.087886,0.016922,0.034618,0.112845,-3.250406,0.000000,0.000000,0.000000,-3.250406,0.950000
2015-08-25T00:00:00.000000000,36,train,901.9322,1302801.26,0.1444,-0.024453,-2.323031,0.017085,0.034618,0.120275,-2.445296,0.000000,0.000000,0.000000,-2.445296,0.950000
2015-08-26T00:00:00.000000000,37,train,853.1263,425929.34,0.0499,-0.054113,-5.140690,0.018801,0.043460,0.167879,-5.411253,0.000000,0.000000,0.000000,-5.411253,0.950000
2015-08-27T00:00:00.000000000,38,train,848.7619,424400.73,0.0500,-0.005116,-0.486002,0.018553,0.043460,0.172136,-0.511581,0.000000,0.000000,0.000000,-0.511581,0.950000
2015-08-28T00:00:00.000000000,39,train,870.0073,435143.47,0.0500,0.025031,2.377949,0.018884,0.043460,0.172136,2.503104,0.000000,0.000000,0.000000,2.503104,0.950000
2015-08-31T00:00:00.000000000,40,train,894.1142,1291704.98,0.1445,0.027709,2.632335,0.019268,0.039491,0.172136,2.770879,0.000000,0.000000,0.000000,2.770879,0.950000
2015-09-01T00:00:00.000000000,41,train,886.4926,442641.19,0.0499,-0.008524,-0.809799,0.019054,0.039491,0.172136,-0.852420,0.000000,0.000000,0.000000,-0.852420,0.950000
2015-09-02T00:00:00.000000000,42,train,880.7811,440495.14,0.0500,-0.006443,-0.612065,0.018834,0.039491,0.172136,-0.644279,0.000000,0.000000,0.000000,-0.644279,0.950000
2015-09-03T00:00:00.000000000,43,train,864.9884,432573.98,0.0500,-0.017930,-1.703377,0.018752,0.039491,0.172136,-1.793028,0.000000,0.000000,0.000000,-1.793028,0.950000
2015-09-04T00:00:00.000000000,44,train,857.0310,2052732.76,0.2395,-0.009199,-0.873947,0.018560,0.039491,0.172136,-0.919944,0.000000,0.000000,0.000000,-0.919944,0.950000
2015-09-07T00:00:00.000000000,45,train,865.8834,433427.79,0.0501,0.010329,0.981274,0.018462,0.039491,0.172136,1.032920,0.000000,0.000000,0.000000,1.032920,0.950000
2015-09-08T00:00:00.000000000,46,train,845.9444,425490.65,0.0503,-0.023027,-2.187598,0.018492,0.039491,0.174884,-2.302735,0.000000,0.000000,0.000000,-2.302735,0.950000
2015-09-09T00:00:00.000000000,47,train,830.3884,1986264.82,0.2392,-0.018389,-1.746953,0.018421,0.039491,0.190058,-1.838898,0.000000,0.000000,0.000000,-1.838898,0.950000
2015-09-10T00:00:00.000000000,48,train,861.6766,429698.83,0.0499,0.037679,3.579511,0.019165,0.039491,0.190058,3.767906,0.000000,0.000000,0.000000,3.767906,0.950000
2015-09-11T00:00:00.000000000,49,train,851.8301,426217.58,0.0500,-0.011427,-1.085576,0.019007,0.039491,0.190058,-1.142712,0.000000,0.000000,0.000000,-1.142712,0.950000
2015-09-14T00:00:00.000000000,50,train,873.7334,437247.84,0.0500,0.025713,2.442754,0.019243,0.037096,0.190058,2.571320,0.000000,0.000000,0.000000,2.571320,0.950000
2015-09-15T00:00:00.000000000,51,train,870.2249,2911870.35,0.3346,-0.004016,-0.381485,0.019055,0.037096,0.190058,-0.401563,0.000000,0.000000,0.000000,-0.401563,0.950000
2015-09-16T00:00:00.000000000,52,train,871.4869,435346.08,0.0500,0.001450,0.137779,0.018878,0.037096,0.190058,0.145030,0.000000,0.000000,0.000000,0.145030,0.950000
2015-09-18T00:00:00.000000000,53,train,871.7068,437955.58,0.0502,0.000252,0.023965,0.018703,0.037096,0.190058,0.025227,0.000000,0.000000,0.000000,0.025227,0.950000
2015-09-21T00:00:00.000000000,54,train,871.6375,437522.23,0.0502,-0.000080,-0.007553,0.018532,0.037096,0.190058,-0.007951,0.000000,0.000000,0.000000,-0.007951,0.950000
2015-09-22T00:00:00.000000000,55,train,859.8575,2061978.27,0.2398,-0.013515,-1.283901,0.018423,0.037096,0.190058,-1.351474,0.000000,0.000000,0.000000,-1.351474,0.950000
2015-09-23T00:00:00.000000000,56,train,867.3245,435256.48,0.0502,0.008684,0.824976,0.018318,0.037096,0.190058,0.868395,0.000000,0.000000,0.000000,0.868395,0.950000
2015-09-24T00:00:00.000000000,57,train,840.9176,415284.72,0.0494,-0.030446,-2.892407,0.018527,0.037682,0.190058,-3.044639,0.000000,0.000000,0.000000,-3.044639,0.950000
2015-09-28T00:00:00.000000000,58,train,850.6505,428721.21,0.0504,0.011574,1.099549,0.018463,0.037682,0.190058,1.157420,0.000000,0.000000,0.000000,1.157420,0.950000
2015-09-29T00:00:00.000000000,59,train,854.0107,430984.04,0.0505,0.003950,0.375267,0.018325,0.037682,0.190058,0.395018,0.000000,0.000000,0.000000,0.395018,0.950000
2015-09-30T00:00:00.000000000,60,train,839.4106,422880.93,0.0504,-0.017096,-1.624114,0.018268,0.035987,0.190058,-1.709593,0.000000,0.000000,0.000000,-1.709593,0.950000
2015-10-01T00:00:00.000000000,61,train,862.7713,1250117.21,0.1449,0.027830,2.643834,0.018682,0.035987,0.190058,2.782983,0.000000,0.000000,0.000000,2.782983,0.950000
2015-10-05T00:00:00.000000000,62,train,868.5285,438413.40,0.0505,0.006673,0.633929,0.018350,0.035987,0.189305,0.667293,0.000000,0.000000,0.000000,0.667293,0.950000
2015-10-06T00:00:00.000000000,63,train,864.1824,436271.03,0.0505,-0.005004,-0.475379,0.018271,0.035987,0.189305,-0.500398,0.000000,0.000000,0.000000,-0.500398,0.950000
2015-10-07T00:00:00.000000000,64,train,872.1925,437966.46,0.0502,0.009269,0.880554,0.018307,0.035987,0.189305,0.926898,0.000000,0.000000,0.000000,0.926898,0.950000
2015-10-08T00:00:00.000000000,65,train,866.2259,1258948.07,0.1453,-0.006841,-0.649889,0.018282,0.035987,0.189305,-0.684094,0.000000,0.000000,0.000000,-0.684094,0.950000
2015-10-09T00:00:00.000000000,66,train,864.7147,444319.66,0.0514,-0.001745,-0.165735,0.018242,0.035987,0.189305,-0.174457,0.000000,0.000000,0.000000,-0.174457,0.950000
2015-10-12T00:00:00.000000000,67,train,864.3549,444963.94,0.0515,-0.000416,-0.039523,0.018224,0.035987,0.189305,-0.041603,0.000000,0.000000,0.000000,-0.041603,0.950000
2015-10-13T00:00:00.000000000,68,train,872.2149,447901.66,0.0514,0.009093,0.863881,0.018282,0.035987,0.189305,0.909348,0.000000,0.000000,0.000000,0.909348,0.950000
2015-10-14T00:00:00.000000000,69,train,869.4103,3739177.40,0.4301,-0.003216,-0.305473,0.018282,0.035987,0.189305,-0.321551,0.000000,0.000000,0.000000,-0.321551,0.950000
2015-10-15T00:00:00.000000000,70,train,859.0474,429414.32,0.0500,-0.011920,-1.132354,0.018312,0.035987,0.189305,-1.191951,0.000000,0.000000,0.000000,-1.191951,0.950000
2015-10-16T00:00:00.000000000,71,train,859.2515,431271.03,0.0502,0.000238,0.022570,0.018277,0.035987,0.179917,0.023758,0.000000,0.000000,0.000000,0.023758,0.950000
2015-10-19T00:00:00.000000000,72,train,862.9677,434093.94,0.0503,0.004325,0.410870,0.018263,0.035987,0.169373,0.432494,0.000000,0.000000,0.000000,0.432494,0.950000
2015-10-20T00:00:00.000000000,73,train,875.0009,435950.51,0.0498,0.013944,1.324674,0.018087,0.035478,0.169373,1.394394,0.000000,0.000000,0.000000,1.394394,0.950000
2015-10-21T00:00:00.000000000,74,train,892.0680,451204.27,0.0506,0.019505,1.853003,0.018162,0.035478,0.167369,1.950529,0.000000,0.000000,0.000000,1.950529,0.950000
2015-10-23T00:00:00.000000000,75,train,890.6317,449729.94,0.0505,-0.001610,-0.152963,0.018148,0.035478,0.167369,-0.161013,0.000000,0.000000,0.000000,-0.161013,0.950000
2015-10-26T00:00:00.000000000,76,train,896.4816,451960.26,0.0504,0.006568,0.623990,0.018115,0.035478,0.167369,0.656831,0.000000,0.000000,0.000000,0.656831,0.950000
2015-10-27T00:00:00.000000000,77,train,889.0109,1287888.23,0.1449,-0.008333,-0.791675,0.017978,0.035478,0.167369,-0.833342,0.000000,0.000000,0.000000,-0.833342,0.950000
2015-10-28T00:00:00.000000000,78,train,886.5639,454593.48,0.0513,-0.002752,-0.261482,0.017972,0.035478,0.167369,-0.275244,0.000000,0.000000,0.000000,-0.275244,0.950000
2015-10-29T00:00:00.000000000,79,train,887.9640,452452.67,0.0510,0.001579,0.150023,0.017945,0.035478,0.167369,0.157919,0.000000,0.000000,0.000000,0.157919,0.950000
2015-10-30T00:00:00.000000000,80,train,888.5612,455455.07,0.0513,0.000673,0.063901,0.017732,0.035478,0.167369,0.067264,0.000000,0.000000,0.000000,0.067264,0.950000
