step,phase,actor_loss,critic_loss,actor_grad_norm,weight_mean,weight_std
32,train,-0.002869,0.410127,0.0,0.0047,0.0205
33,train,-0.003254,0.398264,0.0,0.0047,0.0206
34,train,0.002497,0.375931,0.0,0.0047,0.0205
35,train,0.026968,0.407817,0.0,0.0047,0.0206
36,train,0.099508,0.387284,0.0,0.0047,0.0205
37,train,0.214272,0.406712,0.0,0.0047,0.0205
38,train,0.346984,0.419525,0.0,0.0047,0.0205
39,train,0.379124,0.361251,0.0,0.0047,0.0205
40,train,0.340347,0.400114,0.0,0.0047,0.0205
41,train,0.303812,0.399266,0.0,0.0046,0.0205
42,train,0.288680,0.384482,0.0,0.0046,0.0205
43,train,0.285887,0.349887,0.0,0.0047,0.0205
44,train,0.247202,0.381107,0.0,0.0046,0.0205
45,train,0.226476,0.359392,0.0,0.0046,0.0204
46,train,0.230439,0.287306,0.0,0.0047,0.0206
47,train,0.260926,0.331225,0.0,0.0046,0.0204
48,train,0.299399,0.444060,0.0,0.0046,0.0204
49,train,0.330247,0.341392,0.0,0.0046,0.0204
50,train,0.343672,0.368334,0.0,0.0046,0.0204
51,train,0.335835,0.344232,0.0,0.0046,0.0204
52,train,0.322200,0.340823,0.0,0.0046,0.0203
53,train,0.320607,0.358952,0.0,0.0047,0.0205
54,train,0.355852,0.403416,0.0,0.0046,0.0204
55,train,0.349478,0.346836,0.0,0.0046,0.0204
56,train,0.298398,0.391906,0.0,0.0046,0.0204
57,train,0.252981,0.307411,0.0,0.0046,0.0204
58,train,0.213910,0.288417,0.0,0.0046,0.0203
59,train,0.195756,0.407112,0.0,0.0046,0.0204
60,train,0.178472,0.266369,0.0,0.0046,0.0203
61,train,0.171522,0.331280,0.0,0.0046,0.0205
62,train,0.162481,0.319035,0.0,0.0047,0.0205
63,train,0.149821,0.339673,0.0,0.0046,0.0204
64,train,0.151543,0.367491,0.0,0.0046,0.0204
65,train,0.156394,0.328598,0.0,0.0047,0.0205
66,train,0.158474,0.369440,0.0,0.0046,0.0204
67,train,0.156546,0.356946,0.0,0.0047,0.0206
68,train,0.139333,0.307128,0.0,0.0046,0.0204
69,train,0.136550,0.299677,0.0,0.0046,0.0203
70,train,0.123934,0.326381,0.0,0.0046,0.0204
71,train,0.103721,0.265266,0.0,0.0047,0.0206
72,train,0.100486,0.253756,0.0,0.0047,0.0205
73,train,0.107302,0.333006,0.0,0.0046,0.0204
74,train,0.106726,0.267520,0.0,0.0046,0.0203
75,train,0.113696,0.282050,0.0,0.0046,0.0203
76,train,0.135322,0.350027,0.0,0.0046,0.0205
77,train,0.150135,0.289957,0.0,0.0046,0.0204
78,train,0.145827,0.291848,0.0,0.0047,0.0205
79,train,0.105488,0.238500,0.0,0.0046,0.0204
80,train,0.059675,0.264497,0.0,0.0046,0.0204
81,train,0.032315,0.303146,0.0,0.0047,0.0205
82,train,0.014879,0.343537,0.0,0.0047,0.0205
83,train,0.001228,0.241904,0.0,0.0046,0.0204
84,train,-0.014415,0.272214,0.0,0.0046,0.0205
85,train,-0.024871,0.244814,0.0,0.0046,0.0204
86,train,-0.033785,0.248555,0.0,0.0046,0.0204
87,train,-0.032092,0.213365,0.0,0.0046,0.0203
88,train,-0.028221,0.285437,0.0,0.0046,0.0205
89,train,-0.029552,0.226475,0.0,0.0045,0.0203
90,train,-0.024732,0.172681,0.0,0.0045,0.0203
91,train,-0.025173,0.417292,0.0,0.0046,0.0204
92,train,-0.023074,0.347023,0.0,0.0046,0.0205
93,train,-0.034529,0.324581,0.0,0.0047,0.0206
94,train,-0.034168,0.293186,0.0,0.0047,0.0205
95,train,-0.020900,0.252585,0.0,0.0046,0.0204
96,train,-0.003002,0.232953,0.0,0.0046,0.0203
97,train,0.015301,0.234815,0.0,0.0046,0.0204
98,train,0.017629,0.249391,0.0,0.0047,0.0206
99,train,0.028744,0.279620,0.0,0.0046,0.0204
100,train,0.041004,0.277724,0.0,0.0046,0.0204
101,train,0.056742,0.235351,0.0,0.0047,0.0205
102,train,0.071649,0.195565,0.0,0.0046,0.0204
103,train,0.092346,0.221481,0.0,0.0046,0.0204
104,train,0.113957,0.208000,0.0,0.0045,0.0202
105,train,0.150039,0.333818,0.0,0.0046,0.0204
106,train,0.164312,0.227600,0.0,0.0046,0.0205
107,train,0.197392,0.297141,0.0,0.0047,0.0205
108,train,0.183303,0.228446,0.0,0.0046,0.0203
109,train,0.136371,0.191380,0.0,0.0047,0.0205
110,train,0.116196,0.277309,0.0,0.0046,0.0204
111,train,0.106823,0.218167,0.0,0.0047,0.0205
112,train,0.116548,0.208692,0.0,0.0046,0.0204
113,train,0.135211,0.285577,0.0,0.0046,0.0205
114,train,0.172373,0.326675,0.0,0.0046,0.0204
115,train,0.221241,0.271060,0.0,0.0046,0.0204
116,train,0.219560,0.278838,0.0,0.0047,0.0206
