step,actor_loss,critic_loss,actor_grad_norm,weight_mean,weight_std
32,-0.001056,0.186976,0.0,0.0323,0.0001
33,-0.001711,0.183492,0.0,0.0323,0.0001
34,-0.002341,0.193677,0.0,0.0323,0.0001
35,-0.002940,0.183587,0.0,0.0323,0.0001
36,-0.003534,0.166651,0.0,0.0323,0.0001
37,-0.004052,0.173490,0.0,0.0323,0.0001
38,-0.004443,0.182943,0.0,0.0323,0.0001
39,-0.004834,0.200138,0.0,0.0323,0.0001
40,-0.005202,0.174223,0.0,0.0323,0.0001
41,-0.005484,0.189436,0.0,0.0323,0.0001
42,-0.005862,0.193129,0.0,0.0323,0.0001
43,-0.006192,0.163805,0.0,0.0323,0.0001
44,-0.006542,0.227418,0.0,0.0323,0.0001
45,-0.006948,0.183253,0.0,0.0323,0.0001
46,-0.007298,0.199695,0.0,0.0323,0.0001
47,-0.007579,0.204430,0.0,0.0323,0.0001
48,-0.007960,0.180031,0.0,0.0323,0.0001
49,-0.008419,0.173824,0.0,0.0323,0.0001
