date,step,ticker,action,shares,price,value,commission
2015-11-19T00:00:00.000000000,45,NSE_ASIANPAINT,SELL,-28,827.00,-23156.00,23.16
2015-11-19T00:00:00.000000000,45,NSE_BAJAJ_AUTO,BUY,411,2361.00,970371.00,970.37
2015-11-19T00:00:00.000000000,45,NSE_BEL,BUY,371,37.46,13897.29,13.90
2015-11-19T00:00:00.000000000,45,NSE_CIPLA,SELL,-2,635.00,-1270.00,1.27
2015-11-19T00:00:00.000000000,45,NSE_GODREJCP,BUY,26,404.35,10513.09,10.51
2015-11-19T00:00:00.000000000,45,NSE_ONGC,SELL,-46,155.17,-7137.66,7.14
2015-11-19T00:00:00.000000000,45,NSE_PIDILITIND,BUY,4,268.00,1072.00,1.07
2015-11-19T00:00:00.000000000,45,NSE_RELIANCE,BUY,42,206.59,8676.86,8.68
2015-11-19T00:00:00.000000000,45,NSE_TRENT,SELL,-55,142.04,-7811.93,7.81
2015-11-20T00:00:00.000000000,46,NSE_ABB,BUY,9,1072.83,9655.50,9.66
2015-11-20T00:00:00.000000000,46,NSE_ASIANPAINT,BUY,17,821.40,13963.80,13.96
2015-11-20T00:00:00.000000000,46,NSE_BAJAJ_AUTO,SELL,-9,2427.95,-21851.55,21.85
2015-11-20T00:00:00.000000000,46,NSE_BEL,SELL,-99,37.88,-3749.99,3.75
2015-11-20T00:00:00.000000000,46,NSE_CIPLA,BUY,9,635.90,5723.10,5.72
2015-11-20T00:00:00.000000000,46,NSE_GODREJCP,SELL,-34,413.30,-14052.19,14.05
2015-11-20T00:00:00.000000000,46,NSE_ONGC,BUY,17,155.87,2649.73,2.65
2015-11-20T00:00:00.000000000,46,NSE_PIDILITIND,BUY,13,269.00,3497.00,3.50
2015-11-20T00:00:00.000000000,46,NSE_RELIANCE,SELL,-43,209.99,-9029.43,9.03
2015-11-20T00:00:00.000000000,46,NSE_TRENT,BUY,50,142.04,7102.25,7.10
2015-11-23T00:00:00.000000000,47,NSE_ABB,BUY,21,1058.48,22228.11,22.23
2015-11-23T00:00:00.000000000,47,NSE_ASIANPAINT,SELL,-13,838.20,-10896.60,10.90
2015-11-23T00:00:00.000000000,47,NSE_BAJAJ_AUTO,SELL,-5,2481.00,-12405.00,12.41
2015-11-23T00:00:00.000000000,47,NSE_CIPLA,SELL,-14,647.60,-9066.40,9.07
2015-11-23T00:00:00.000000000,47,NSE_GODREJCP,BUY,42,409.67,17205.98,17.21
2015-11-23T00:00:00.000000000,47,NSE_ONGC,BUY,25,156.67,3916.66,3.92
2015-11-23T00:00:00.000000000,47,NSE_PIDILITIND,SELL,-85,278.00,-23630.00,23.63
2015-11-23T00:00:00.000000000,47,NSE_RELIANCE,SELL,-36,213.58,-7689.02,7.69
2015-11-23T00:00:00.000000000,47,NSE_TRENT,BUY,115,141.00,16215.00,16.21
2015-11-24T00:00:00.000000000,48,NSE_ABB,SELL,-1,1058.48,-1058.48,1.06
2015-11-24T00:00:00.000000000,48,NSE_ASIANPAINT,SELL,-19,850.00,-16150.00,16.15
2015-11-24T00:00:00.000000000,48,NSE_BAJAJ_AUTO,SELL,-397,2515.00,-998455.00,998.46
2015-11-24T00:00:00.000000000,48,NSE_BEL,BUY,74,38.06,2816.48,2.82
2015-11-24T00:00:00.000000000,48,NSE_CIPLA,BUY,15,640.00,9600.00,9.60
2015-11-24T00:00:00.000000000,48,NSE_DLF,BUY,9533,103.40,985712.21,985.71
2015-11-24T00:00:00.000000000,48,NSE_GODREJCP,SELL,-5,410.00,-2050.00,2.05
2015-11-24T00:00:00.000000000,48,NSE_ONGC,BUY,72,154.67,11135.99,11.14
2015-11-24T00:00:00.000000000,48,NSE_PIDILITIND,BUY,84,271.10,22772.40,22.77
2015-11-24T00:00:00.000000000,48,NSE_RELIANCE,SELL,-22,214.26,-4713.68,4.71
2015-11-24T00:00:00.000000000,48,NSE_TRENT,SELL,-60,142.00,-8520.00,8.52
2015-11-26T00:00:00.000000000,49,NSE_ABB,BUY,28,1040.54,29135.15,29.14
2015-11-26T00:00:00.000000000,49,NSE_BEL,BUY,354,38.03,13463.77,13.46
2015-11-26T00:00:00.000000000,49,NSE_CIPLA,BUY,20,639.80,12796.00,12.80
2015-11-26T00:00:00.000000000,49,NSE_DLF,SELL,-370,109.00,-40330.00,40.33
2015-11-26T00:00:00.000000000,49,NSE_GODREJCP,SELL,-24,419.97,-10079.19,10.08
2015-11-26T00:00:00.000000000,49,NSE_ONGC,BUY,52,155.40,8080.79,8.08
2015-11-26T00:00:00.000000000,49,NSE_PIDILITIND,BUY,29,272.50,7902.50,7.90
2015-11-26T00:00:00.000000000,49,NSE_RELIANCE,SELL,-25,218.31,-5457.63,5.46
2015-11-26T00:00:00.000000000,49,NSE_TRENT,SELL,-170,147.50,-25075.00,25.07
