date,step,ticker,action,shares,buy_shares,sell_shares,price,value,commission,avg_cost_before,avg_cost_after,realized_pnl,position_after
2020-11-14T00:00:00.000000000,1323,HINDALCO,SELL,-444,0,444,204.59,-90840.00,90.84,198.0853,198.0853,2799.31,364
2020-11-14T00:00:00.000000000,1323,JSWSTEEL,BUY,1038,1038,0,325.73,338110.00,338.11,305.4870,309.7119,0.00,5054
2020-11-14T00:00:00.000000000,1323,SHREECEM,BUY,19,19,0,23023.49,437446.24,437.45,20961.8852,21312.3973,0.00,113
2020-11-14T00:00:00.000000000,1323,TITAN,BUY,17,17,0,1275.17,21677.83,21.68,1274.3195,1274.6387,0.00,113
2020-11-14T00:00:00.000000000,1323,VBL,BUY,1583,1583,0,65.25,103298.50,103.30,61.9077,62.8840,0.00,5533
2020-11-17T00:00:00.000000000,1324,ABB,SELL,-46,0,46,971.38,-44683.35,44.68,925.9255,925.9255,2046.10,27
2020-11-17T00:00:00.000000000,1324,ADANIENT,SELL,-102,0,102,371.10,-37852.06,37.85,348.1748,348.1748,2300.38,1094
2020-11-17T00:00:00.000000000,1324,ADANIPORTS,SELL,-1428,0,1428,357.71,-510809.00,510.81,359.8045,359.8045,-3502.65,5189
2020-11-17T00:00:00.000000000,1324,ADANIPOWER,SELL,-5188,0,5188,7.38,-38287.44,38.29,7.3231,7.3231,257.08,380167
2020-11-17T00:00:00.000000000,1324,BAJAJFINSV,BUY,3,3,0,734.45,2203.34,2.20,649.8253,651.1590,0.00,192
2020-11-17T00:00:00.000000000,1324,HINDALCO,BUY,165,165,0,202.95,33487.41,33.49,198.0853,199.6672,0.00,529
2020-11-17T00:00:00.000000000,1324,JSWSTEEL,SELL,-233,0,233,325.54,-75851.48,75.85,309.7119,309.7119,3612.75,4821
2020-11-17T00:00:00.000000000,1324,SHREECEM,SELL,-50,0,50,23048.77,-1152438.28,1152.44,21312.3973,21312.3973,85665.98,63
2020-11-17T00:00:00.000000000,1324,TITAN,BUY,37,37,0,1277.14,47254.03,47.25,1274.6387,1275.5698,0.00,150
2020-11-17T00:00:00.000000000,1324,VBL,SELL,-444,0,444,64.38,-28584.27,28.58,62.8840,62.8840,635.18,5089
2020-11-18T00:00:00.000000000,1325,ABB,SELL,-27,0,27,955.15,-25789.18,25.79,925.9255,0.0000,763.41,0
2020-11-18T00:00:00.000000000,1325,ADANIENT,BUY,296,296,0,393.00,116326.65,116.33,348.1748,357.8030,0.00,1390
2020-11-18T00:00:00.000000000,1325,ADANIPORTS,SELL,-2295,0,2295,370.81,-851018.26,851.02,359.8045,359.8045,24415.90,2894
2020-11-18T00:00:00.000000000,1325,ADANIPOWER,SELL,-3347,0,3347,7.53,-25202.91,25.20,7.3231,7.3231,667.40,376820
2020-11-18T00:00:00.000000000,1325,BAJAJFINSV,BUY,219,219,0,735.55,161084.40,161.08,651.1590,696.5159,0.00,411
2020-11-18T00:00:00.000000000,1325,BRITANNIA,BUY,43,43,0,3237.55,139214.51,139.21,0.0000,3240.7842,0.00,43
2020-11-18T00:00:00.000000000,1325,HINDALCO,SELL,-529,0,529,205.03,-108460.28,108.46,199.6672,0.0000,2727.89,0
2020-11-18T00:00:00.000000000,1325,JINDALSTEL,BUY,608,608,0,224.82,136692.18,136.69,0.0000,225.0475,0.00,608
2020-11-18T00:00:00.000000000,1325,JSWSTEEL,BUY,963,963,0,320.86,308985.37,308.99,309.7119,311.6209,0.00,5784
2020-11-18T00:00:00.000000000,1325,KOTAKBANK,BUY,401,401,0,356.81,143080.54,143.08,0.0000,357.1661,0.00,401
2020-11-18T00:00:00.000000000,1325,SHREECEM,SELL,-15,0,15,23503.30,-352549.57,352.55,21312.3973,21312.3973,32511.06,48
2020-11-18T00:00:00.000000000,1325,TITAN,SELL,-150,0,150,1282.01,-192301.54,192.30,1275.5698,0.0000,773.77,0
2020-11-18T00:00:00.000000000,1325,VBL,BUY,47,47,0,65.25,3066.98,3.07,62.8840,62.9063,0.00,5136
2020-11-19T00:00:00.000000000,1326,ADANIENT,BUY,45,45,0,389.05,17507.47,17.51,357.8030,358.7953,0.00,1435
2020-11-19T00:00:00.000000000,1326,ADANIPORTS,SELL,-925,0,925,378.58,-350186.29,350.19,359.8045,359.8045,17016.94,1969
2020-11-19T00:00:00.000000000,1326,ADANIPOWER,SELL,-12224,0,12224,7.88,-96325.12,96.33,7.3231,7.3231,6711.61,364596
2020-11-19T00:00:00.000000000,1326,BAJAJFINSV,SELL,-46,0,46,777.25,-35753.33,35.75,696.5159,696.5159,3677.85,365
2020-11-19T00:00:00.000000000,1326,BRITANNIA,SELL,-24,0,24,3220.20,-77284.68,77.28,3240.7842,3240.7842,-571.42,19
2020-11-19T00:00:00.000000000,1326,JSWSTEEL,SELL,-37,0,37,321.76,-11904.98,11.90,311.6209,311.6209,363.11,5747
2020-11-19T00:00:00.000000000,1326,KOTAKBANK,BUY,770,770,0,362.29,278960.56,278.96,357.1661,360.7713,0.00,1171
2020-11-19T00:00:00.000000000,1326,SHREECEM,BUY,26,26,0,23513.35,611347.09,611.35,21312.3973,22093.9663,0.00,74
2020-11-19T00:00:00.000000000,1326,VBL,BUY,2926,2926,0,67.01,196061.62,196.06,62.9063,64.4188,0.00,8062
2020-11-20T00:00:00.000000000,1327,ADANIENT,SELL,-283,0,283,384.17,-108719.22,108.72,358.7953,358.7953,7071.44,1152
2020-11-20T00:00:00.000000000,1327,ADANIPORTS,SELL,-259,0,259,369.84,-95789.41,95.79,359.8045,359.8045,2504.26,1710
2020-11-20T00:00:00.000000000,1327,ADANIPOWER,BUY,6546,6546,0,7.66,50142.36,50.14,7.3231,7.3291,0.00,371142
2020-11-20T00:00:00.000000000,1327,BAJAJFINSV,BUY,1205,1205,0,782.54,942960.01,942.96,696.5159,763.1409,0.00,1570
