date,nav,reward,selected
2015-09-10T00:00:00.000000000,1.0,0.0,
2015-09-11T00:00:00.000000000,1.0,0.0,
2015-09-14T00:00:00.000000000,1.0,0.0,"NSE_ONGC,NSE_SOLARINDS,NSE_CIPLA,NSE_HINDUNILVR,NSE_PIDILITIND,NSE_TRENT,NSE_ASIANPAINT"
2015-09-15T00:00:00.000000000,1.0,0.0,"NSE_ONGC,NSE_SOLARINDS,NSE_CIPLA,NSE_HINDUNILVR,NSE_TRENT,NSE_PIDILITIND,NSE_ASIANPAINT,NSE_INDHOTEL"
2015-09-16T00:00:00.000000000,1.0,0.0,"NSE_ONGC,NSE_CIPLA,NSE_SOLARINDS,NSE_ABB,NSE_HINDUNILVR,NSE_PIDILITIND,NSE_TRENT,NSE_INDHOTEL,NSE_TCS"
2015-09-18T00:00:00.000000000,1.0,0.0,"NSE_ONGC,NSE_CIPLA,NSE_SOLARINDS,NSE_ABB,NSE_HINDUNILVR,NSE_PIDILITIND,NSE_TRENT,NSE_INDHOTEL"
2015-09-21T00:00:00.000000000,1.0,0.0,"NSE_ONGC,NSE_SOLARINDS,NSE_CIPLA,NSE_ABB,NSE_HINDUNILVR,NSE_PIDILITIND,NSE_TRENT,NSE_BEL"
2015-09-22T00:00:00.000000000,1.0,0.0,"NSE_ONGC,NSE_ABB,NSE_CIPLA,NSE_SOLARINDS,NSE_HINDUNILVR,NSE_PIDILITIND,NSE_TRENT,NSE_BEL"
2015-09-23T00:00:00.000000000,1.0,0.0,"NSE_ONGC,NSE_ABB,NSE_CIPLA,NSE_SOLARINDS,NSE_PIDILITIND,NSE_TRENT,NSE_HINDUNILVR"
2015-09-24T00:00:00.000000000,1.0,0.0,"NSE_ONGC,NSE_ABB,NSE_SOLARINDS,NSE_CIPLA,NSE_PIDILITIND,NSE_TRENT,NSE_ASIANPAINT,NSE_HINDUNILVR"
2015-09-28T00:00:00.000000000,1.0,0.0,"NSE_ONGC,NSE_SOLARINDS,NSE_CIPLA,NSE_ABB,NSE_PIDILITIND,NSE_TRENT,NSE_ASIANPAINT,NSE_HINDUNILVR"
2015-09-29T00:00:00.000000000,1.0,0.0,"NSE_SOLARINDS,NSE_ABB,NSE_ONGC,NSE_CIPLA,NSE_PIDILITIND,NSE_TRENT,NSE_ASIANPAINT,NSE_BEL"
2015-09-30T00:00:00.000000000,1.0,0.0,"NSE_SOLARINDS,NSE_CIPLA,NSE_ONGC,NSE_ABB,NSE_PIDILITIND,NSE_AMBUJACEM,NSE_TRENT,NSE_ASIANPAINT,NSE_BEL"
2015-10-01T00:00:00.000000000,1.0,0.0,"NSE_CIPLA,NSE_ONGC,NSE_HDFCBANK,NSE_ABB,NSE_AMBUJACEM,NSE_PIDILITIND,NSE_SOLARINDS,NSE_TRENT,NSE_BEL"
2015-10-05T00:00:00.000000000,1.0,0.0,"NSE_ONGC,NSE_AMBUJACEM,NSE_ABB,NSE_PIDILITIND,NSE_CIPLA,NSE_HDFCBANK,NSE_SOLARINDS,NSE_TRENT,NSE_BEL"
2015-10-06T00:00:00.000000000,1.0,0.0,"NSE_AMBUJACEM,NSE_ABB,NSE_CIPLA,NSE_HDFCBANK,NSE_ONGC,NSE_PIDILITIND,NSE_SOLARINDS,NSE_TRENT"
2015-10-07T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_AMBUJACEM,NSE_CIPLA,NSE_ONGC,NSE_PIDILITIND,NSE_HDFCBANK,NSE_SOLARINDS,NSE_TRENT"
2015-10-08T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_CIPLA,NSE_AMBUJACEM,NSE_PIDILITIND,NSE_HDFCBANK,NSE_ONGC,NSE_GODREJCP,NSE_SOLARINDS,NSE_TRENT"
2015-10-09T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_HDFCBANK,NSE_CIPLA,NSE_PIDILITIND,NSE_ONGC,NSE_GODREJCP,NSE_AMBUJACEM,NSE_SOLARINDS,NSE_TRENT"
