week_start_date,step,rho_cash,w_ret,w_vol,w_cvar,w_mdd,log_prob,entropy
2015-09-10T00:00:00.000000000,0,0.7500,1.0000,0.0000,0.0000,0.0000,-3.187436,3.216026
2015-09-14T00:00:00.000000000,2,0.0500,0.6000,0.2000,0.1000,0.1000,-3.247480,3.216031
2015-09-21T00:00:00.000000000,6,0.7500,0.0000,0.2000,0.4000,0.4000,-3.238931,3.217211
2015-09-28T00:00:00.000000000,10,0.5000,0.4000,0.2000,0.2000,0.2000,-3.256900,3.216991
2015-10-05T00:00:00.000000000,14,0.2500,0.0000,0.2000,0.4000,0.4000,-3.288828,3.216893
2015-10-12T00:00:00.000000000,19,0.7500,1.0000,0.0000,0.0000,0.0000,-3.235643,3.217481
2015-10-19T00:00:00.000000000,24,0.5000,0.1000,0.3000,0.3000,0.3000,-3.248573,3.213563
2015-10-26T00:00:00.000000000,28,0.5000,0.1000,0.3000,0.3000,0.3000,-3.204032,3.217018
2015-11-02T00:00:00.000000000,33,0.9000,1.0000,0.0000,0.0000,0.0000,-3.279806,3.216882
2015-11-09T00:00:00.000000000,38,0.5000,0.1000,0.3000,0.3000,0.3000,-3.304315,3.211543
2015-11-16T00:00:00.000000000,42,0.7500,0.1000,0.3000,0.3000,0.3000,-3.238490,3.216263
2015-11-23T00:00:00.000000000,47,0.9000,0.4000,0.2000,0.2000,0.2000,-3.256054,3.215406
