date,step,ticker,action,shares,price,value,commission
2015-09-10T00:00:00.000000000,0,NSE_ADANIPOWER,BUY,58262,4.29,249943.98,249.94
2015-09-10T00:00:00.000000000,0,NSE_AMBUJACEM,BUY,1191,209.95,250050.45,250.05
2015-09-10T00:00:00.000000000,0,NSE_BHARTIARTL,BUY,787,317.64,249978.75,249.98
2015-09-10T00:00:00.000000000,0,NSE_DLF,BUY,2134,117.15,249998.10,250.00
2015-09-10T00:00:00.000000000,0,NSE_HDFCBANK,BUY,996,250.75,249747.00,249.75
2015-09-10T00:00:00.000000000,0,NSE_HINDUNILVR,BUY,312,801.00,249912.00,249.91
2015-09-10T00:00:00.000000000,0,NSE_KOTAKBANK,BUY,400,623.80,249520.00,249.52
2015-09-10T00:00:00.000000000,0,NSE_SBIN,BUY,1099,227.35,249857.66,249.86
2015-09-10T00:00:00.000000000,0,NSE_TATAPOWER,BUY,4251,58.80,249958.80,249.96
2015-09-10T00:00:00.000000000,0,NSE_ULTRACEMCO,BUY,85,2931.00,249135.00,249.14
2015-09-11T00:00:00.000000000,1,NSE_ADANIPOWER,SELL,-1804,4.45,-8027.80,8.03
2015-09-11T00:00:00.000000000,1,NSE_AMBUJACEM,SELL,-16,213.90,-3422.40,3.42
2015-09-11T00:00:00.000000000,1,NSE_BHARTIARTL,BUY,5,317.00,1585.02,1.59
2015-09-11T00:00:00.000000000,1,NSE_DLF,SELL,-139,126.00,-17514.00,17.51
2015-09-11T00:00:00.000000000,1,NSE_HDFCBANK,SELL,-6,253.62,-1521.75,1.52
2015-09-11T00:00:00.000000000,1,NSE_HINDUNILVR,BUY,5,792.00,3960.00,3.96
2015-09-11T00:00:00.000000000,1,NSE_KOTAKBANK,SELL,-3,633.00,-1899.00,1.90
2015-09-11T00:00:00.000000000,1,NSE_SBIN,SELL,-11,230.90,-2539.90,2.54
2015-09-11T00:00:00.000000000,1,NSE_TATAPOWER,SELL,-138,61.10,-8431.80,8.43
2015-09-11T00:00:00.000000000,1,NSE_ULTRACEMCO,SELL,-2,2993.85,-5987.70,5.99
2015-09-14T00:00:00.000000000,2,NSE_ADANIPOWER,BUY,156725,4.47,700560.72,700.56
