date,step,nav,cash,cash_pct,daily_return,reward,vol_30d,mdd_30d
2015-09-11T00:00:00.000000000,1,999.7502,7499400.17,0.7501,-0.000250,-0.006245,0.000000,0.000000
2015-09-14T00:00:00.000000000,2,1005.2619,7543144.61,0.7504,0.005513,0.314248,0.000000,0.000000
2015-09-15T00:00:00.000000000,3,1002.8451,497626.25,0.0496,-0.002404,-0.137038,0.000000,0.000000
2015-09-16T00:00:00.000000000,4,1016.5764,512316.54,0.0504,0.013692,0.780464,0.000000,0.000000
2015-09-18T00:00:00.000000000,5,1014.6424,507994.02,0.0501,-0.001902,-0.172987,0.006073,0.002404
2015-09-21T00:00:00.000000000,6,1023.1576,513466.43,0.0502,0.008392,-0.021978,0.005906,0.002404
2015-09-22T00:00:00.000000000,7,1020.0987,7650829.55,0.7500,-0.002990,-0.023888,0.005967,0.002990
2015-09-23T00:00:00.000000000,8,1023.7450,7681086.26,0.7503,0.003574,-0.022937,0.005587,0.002990
2015-09-24T00:00:00.000000000,9,1014.3590,7611144.21,0.7503,-0.009168,-0.043756,0.006501,0.009168
2015-09-28T00:00:00.000000000,10,1016.6621,7628300.56,0.7503,0.002270,-0.012947,0.006170,0.009168
2015-09-29T00:00:00.000000000,11,1016.6865,5085404.49,0.5002,0.000024,-0.056534,0.005902,0.009168
2015-09-30T00:00:00.000000000,12,1007.2000,5038803.76,0.5003,-0.009331,-0.253429,0.006398,0.016161
2015-10-01T00:00:00.000000000,13,1018.6840,5098180.07,0.5005,0.011402,0.159289,0.006785,0.016161
2015-10-05T00:00:00.000000000,14,1024.3777,5125703.06,0.5004,0.005589,-0.154155,0.006625,0.016161
2015-10-06T00:00:00.000000000,15,1028.4787,2571268.91,0.2500,0.004003,-0.152656,0.006425,0.016161
2015-10-07T00:00:00.000000000,16,1040.5762,2603724.14,0.2502,0.011763,-0.154447,0.006664,0.016161
2015-10-08T00:00:00.000000000,17,1034.6566,2586133.42,0.2500,-0.005689,-0.155068,0.006747,0.016161
2015-10-09T00:00:00.000000000,18,1039.1044,2600666.52,0.2503,0.004299,-0.153797,0.006577,0.016161
2015-10-12T00:00:00.000000000,19,1037.1514,2594414.06,0.2501,-0.001880,-0.046988,0.006465,0.016161
2015-10-13T00:00:00.000000000,20,1039.8142,7799319.40,0.7501,0.002568,0.064188,0.006303,0.016161
2015-10-14T00:00:00.000000000,21,1037.3061,7780372.64,0.7501,-0.002412,-0.060302,0.006221,0.016161
2015-10-15T00:00:00.000000000,22,1037.2266,7781652.88,0.7502,-0.000077,-0.001915,0.006090,0.016161
2015-10-16T00:00:00.000000000,23,1036.4757,7772947.79,0.7499,-0.000724,-0.018100,0.005977,0.016161
2015-10-19T00:00:00.000000000,24,1035.7888,7770761.54,0.7502,-0.000663,-0.099556,0.005868,0.016161
2015-10-20T00:00:00.000000000,25,1036.8039,5184439.98,0.5000,0.000980,-0.090460,0.005750,0.016161
2015-10-21T00:00:00.000000000,26,1039.3471,5198744.35,0.5002,0.002453,-0.082282,0.005642,0.016161
2015-10-23T00:00:00.000000000,27,1037.7657,5191488.70,0.5003,-0.001521,-0.101583,0.005565,0.016161
2015-10-26T00:00:00.000000000,28,1042.7901,5216754.79,0.5003,0.004842,-0.069297,0.005503,0.016161
2015-10-27T00:00:00.000000000,29,1038.6031,5195505.62,0.5002,-0.004015,-0.113562,0.005500,0.016161
2015-10-28T00:00:00.000000000,30,1031.1442,5158656.99,0.5003,-0.007182,-0.130286,0.005619,0.016161
2015-10-29T00:00:00.000000000,31,1030.0548,5153614.28,0.5003,-0.001057,-0.099720,0.005627,0.016161
2015-10-30T00:00:00.000000000,32,1028.7728,5147328.90,0.5003,-0.001245,-0.100288,0.005577,0.016161
2015-11-02T00:00:00.000000000,33,1027.5541,5138609.36,0.5001,-0.001185,-0.011847,0.005558,0.016161
2015-11-03T00:00:00.000000000,34,1023.0800,9209341.29,0.9002,-0.004354,-0.043541,0.005090,0.018901
2015-11-04T00:00:00.000000000,35,1024.3372,9220833.97,0.9002,0.001229,0.012288,0.005078,0.018901
2015-11-05T00:00:00.000000000,36,1024.6613,9224652.92,0.9003,0.000316,0.003164,0.004852,0.018901
2015-11-06T00:00:00.000000000,37,1023.0056,9210051.41,0.9003,-0.001616,-0.016158,0.004830,0.018973
2015-11-09T00:00:00.000000000,38,1021.5551,9202008.71,0.9008,-0.001418,-0.101577,0.004793,0.020364
2015-11-10T00:00:00.000000000,39,1018.2217,5092351.32,0.5001,-0.003263,-0.113616,0.004529,0.023560
2015-11-11T00:00:00.000000000,40,1023.6161,5122751.47,0.5005,0.005298,-0.071408,0.004609,0.023560
2015-11-13T00:00:00.000000000,41,1022.3679,5112059.12,0.5000,-0.001219,-0.104049,0.004616,0.023560
2015-11-16T00:00:00.000000000,42,1019.2756,5097718.16,0.5001,-0.003025,-0.052169,0.004311,0.023560
2015-11-17T00:00:00.000000000,43,1017.9354,7635338.71,0.7501,-0.001315,-0.046201,0.003804,0.023835
2015-11-18T00:00:00.000000000,44,1021.9052,7666598.05,0.7502,0.003900,-0.032896,0.003733,0.023835
2015-11-19T00:00:00.000000000,45,1021.0760,7660906.39,0.7503,-0.000811,-0.044389,0.003657,0.023835
2015-11-20T00:00:00.000000000,46,1019.5560,7650010.44,0.7503,-0.001489,-0.043258,0.002903,0.023835
2015-11-23T00:00:00.000000000,47,1020.5081,7657316.91,0.7503,0.000934,-0.006666,0.002762,0.023835
2015-11-24T00:00:00.000000000,48,1021.4280,9196322.10,0.9003,0.000901,-0.006666,0.002632,0.023835
2015-11-26T00:00:00.000000000,49,1021.2671,9195765.75,0.9004,-0.000158,-0.010891,0.002621,0.023835
